response	trial	t_start	t_set	t_ball	t_release	t_response	t_goal
n	0	14.5709218979	2.12478303909	2.99541115761	0	0.219919919968	3.11188912392
v	1	19.2107608318	0.380710124969	1.23798203468	0	0.145518064499	1.45397400856
n	2	22.1929898262	0.293333053589	0.854980230331	0	0.242319822311	1.03809905052
n	3	24.7587659359	0.22469496727	0.938462018967	0	0.217051029205	1.18758797646
v	4	27.4747948647	0.276656150818	1.13809800148	0	0.125460147858	1.25452709198
v	5	30.2568199635	0.222400903702	0.78856086731	0	0.108916044235	0.871723890305
n	6	32.6560959816	0.0622730255127	0.77189207077	0	0.110338926315	0.855031013489
v	7	35.0389180183	0.199623823166	0.605060815811	0	0.190382003784	0.805688858032
v	8	38.0971050262	0.253799915314	0.962471008301	0	0.126827955246	1.0789129734
n	9	40.703387022	0.247484922409	1.25522398949	0	0.123819828033	1.33834481239
v	10	43.5706169605	0.212100028992	0.620637893677	0	0.179221153259	0.770447969437
v	11	45.869453907	0.0579741001129	1.07088494301	0	0.182193040848	1.30351209641
n	12	49.43699193	0.0828230381012	0.802285909653	0	0.187323093414	1.06826591492
v	13	52.7565829754	0.291085958481	1.14820599556	0	0.202071905136	1.39747786522
v	14	55.6819059849	0.180777072906	1.18859505653	0	0.164093971252	1.45458507538
n	15	59.387871027	0.307732820511	1.31475090981	0	0.148082971573	1.4655008316
v	16	63.1040718555	0.25580906868	1.26408410072	0	0.122529983521	1.52999019623
n	17	66.8852498531	0.305874109268	1.16504812241	0	0.120428085327	1.31436920166
v	18	69.727741003	0.0642609596252	0.921720027924	0	0.129284858704	1.08769392967
n	19	73.0672619343	0.220448970795	0.63126206398	0	0.168570995331	0.863842964172
v	20	76.1820168495	0.170281171799	0.882072210312	0	0.170741796494	1.16467618942
n	21	78.8749668598	0.099986076355	0.671658039093	0	0.152230978012	0.870994091034
v	22	81.9975259304	0.226625919342	0.648237943649	0	0.165315151215	0.764595985413
n	23	84.290004015	0.149585962296	0.554949998856	0	0.141983032227	0.770915031433
v	24	86.5892529488	0.0184381008148	0.888253927231	0	0.165652036667	1.05553507805
v	25	89.8955140114	0.168401002884	0.880961894989	0	0.122498989105	1.03021788597
v	26	92.4541659355	0.201600074768	1.22131109238	0	0.239547967911	1.40441894531
[]	27	95.3862650394	0.0538148880005	0.921756982803	0	-96.3080220222	1.00486779213
