trial	response	speed	player	ball	direction	goal_size	goal_height	ID	session	block
5	v				-	1.0	-2.0	CK	1	12
6	v				-	4.25	-8.5	CK	1	12
7	v				-	2.0	-4.0	CK	1	12
8	v				+	1.25	-2.5	CK	1	12
9	n				+	3.0	-6.0	CK	1	12
0	v				-	1.0	-2.0	CK	1	13
1	v				+	1.75	-3.5	CK	1	13
2	n				-	4.0	-8.0	CK	1	13
3	v				-	3.0	-6.0	CK	1	13
4	v				+	3.75	-7.5	CK	1	13
5	v				+	1.5	-3.0	CK	1	13
6	n				-	1.0	-2.0	CK	1	13
7	n				+	1.5	-3.0	CK	1	13
8	v				-	2.75	-5.5	CK	1	13
9	v				+	1.5	-3.0	CK	1	13
0	n				+	3.25	-6.5	CK	1	14
1	n				-	3.5	-7.0	CK	1	14
2	v				-	1.5	-3.0	CK	1	14
3	n				+	4.0	-8.0	CK	1	14
4	n				+	3.0	-6.0	CK	1	14
5	n				-	2.0	-4.0	CK	1	14
6	v				+	1.5	-3.0	CK	1	14
7	n				+	4.0	-8.0	CK	1	14
8	n				+	2.0	-4.0	CK	1	14
9	v				+	3.25	-6.5	CK	1	14
0	n				+	2.25	-4.5	CK	1	15
1	n				-	3.75	-7.5	CK	1	15
2	v				+	1.75	-3.5	CK	1	15
3	n				+	2.25	-4.5	CK	1	15
4	v				-	2.0	-4.0	CK	1	15
5	n				+	2.25	-4.5	CK	1	15
6	n				+	3.0	-6.0	CK	1	15
7	v				-	1.75	-3.5	CK	1	15
8	n				+	1.25	-2.5	CK	1	15
9	n				+	2.0	-4.0	CK	1	15
0	n				-	2.0	-4.0	CK	1	16
1	v				-	2.75	-5.5	CK	1	16
2	n				+	4.25	-8.5	CK	1	16
3	v				+	2.0	-4.0	CK	1	16
4	n				+	1.0	-2.0	CK	1	16
5	n				+	2.5	-5.0	CK	1	16
6	n				+	3.0	-6.0	CK	1	16
7	v				-	3.0	-6.0	CK	1	16
8	v				-	3.0	-6.0	CK	1	16
9	v				-	3.75	-7.5	CK	1	16
0	n				+	2.25	-4.5	CK	1	17
1	n				-	1.25	-2.5	CK	1	17
2	n				-	2.75	-5.5	CK	1	17
3	v				-	2.75	-5.5	CK	1	17
4	n				-	2.75	-5.5	CK	1	17
5	v				-	2.0	-4.0	CK	1	17
6	v				+	1.25	-2.5	CK	1	17
7	v				-	2.0	-4.0	CK	1	17
8	n				-	2.5	-5.0	CK	1	17
9	v				+	2.75	-5.5	CK	1	17
0	v				+	1.5	-3.0	CK	1	18
1	n				-	2.75	-5.5	CK	1	18
