trial	response	speed	player	ball	direction	goal_size	goal_height	ID	session	block
0	v				+	2.0	-4.0	ck	2	0
1	n				+	3.75	-7.5	ck	2	0
2	v				-	2.0	-4.0	ck	2	0
3	n				-	2.5	-5.0	ck	2	0
4	v				+	4.0	-8.0	ck	2	0
0	[]	NA	NA	NA	+	1.75	-3.5	ck	2	1
1	n	NA	NA	NA	-	1.75	-3.5	ck	2	1
2	v	NA	NA	NA	-	4.25	-8.5	ck	2	1
3	n	NA	NA	NA	-	3.0	-6.0	ck	2	1
4	v	NA	NA	NA	-	1.0	-2.0	ck	2	1
