trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change	change_loc	trial_nr	block
29	0.5	5	1	+	9	4.5	0.3	0	0	1	0
5	0.5	5	1	-	9	4.5	0.75	1	-5	2	0
4	0.5	5	1	-	9	4.5	0.44999999999999996	1	-4	3	0
21	0.5	5	1	+	9	4.5	0.6	1	-5	4	0
9	0.5	5	1	-	9	4.5	0.6	0	0	5	0
12	0.5	5	1	-	9	4.5	0.9	0	0	6	0
27	0.5	5	1	+	9	4.5	0.6	0	0	7	0
17	0.5	5	1	+	9	4.5	0.9	1	-1	8	0
14	0.5	5	1	-	9	4.5	0.9	0	0	9	0
8	0.5	5	1	-	9	4.5	0.75	1	-8	10	0
31	0.5	5	1	+	9	4.5	0.44999999999999996	0	0	11	0
11	0.5	5	1	-	9	4.5	0.3	0	0	12	0
2	0.5	5	1	-	9	4.5	0.44999999999999996	1	-2	13	0
15	0.5	5	1	-	9	4.5	0.9	0	0	14	0
28	0.5	5	1	+	9	4.5	0.44999999999999996	0	0	15	0
13	0.5	5	1	-	9	4.5	0.9	0	0	16	0
26	0.5	5	1	+	9	4.5	0.9	0	0	17	0
22	0.5	5	1	+	9	4.5	0.6	1	-6	18	0
1	0.5	5	1	-	9	4.5	0.9	1	-1	19	0
10	0.5	5	1	-	9	4.5	0.3	0	0	20	0
24	0.5	5	1	+	9	4.5	0.6	1	-8	21	0
20	0.5	5	1	+	9	4.5	0.3	1	-4	22	0
19	0.5	5	1	+	9	4.5	0.3	1	-3	23	0
6	0.5	5	1	-	9	4.5	0.9	1	-6	24	0
30	0.5	5	1	+	9	4.5	0.6	0	0	25	0
7	0.5	5	1	-	9	4.5	0.44999999999999996	1	-7	26	0
25	0.5	5	1	+	9	4.5	0.9	0	0	27	0
16	0.5	5	1	-	9	4.5	0.75	0	0	28	0
18	0.5	5	1	+	9	4.5	0.75	1	-2	29	0
32	0.5	5	1	+	9	4.5	0.44999999999999996	0	0	30	0
23	0.5	5	1	+	9	4.5	0.3	1	-7	31	0
3	0.5	5	1	-	9	4.5	0.75	1	-3	32	0
