response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change
v	1	16.606222414000513	1.7038951929989707	2.0152381879997847	0	0.09061539600043034	2.3144802839997283	1.981946194999182
n	2	21.176046738999503	0.8126811100009945	1.1275991640013672	0	0.10449274099846662	1.4434868469998037	-21.176046738999503
n	3	24.151084708999406	0.023166420000052312	0.3352991830015526	0	0.2577961629995116	0.6345022540008358	0.23534017900055915
v	4	27.0431734470003	0.2898151850004069	0.6087702530003298	0	0.1562867089996871	0.9080108069993003	0.7088126229991758
n	5	30.207192478999787	0.33390702299948316	0.643787295999573	0	0.22124445000008564	0.9597140500009118	-30.207192478999787
v	6	32.69827994200023	0.1952918890001456	0.5019503679995978	0	0.1361127279997163	0.817891206999775	-32.69827994200023
v	7	35.04741493199981	0.029523414999857778	0.3354895360007504	0	0.13744750600017142	0.6347342130011384	0.23864206399957766
n	8	37.93734021199998	0.27573871400090866	0.5946363559996826	0	0.09244231599950581	0.9104725390006934	-37.93734021199998
v	9	40.37814178799999	0.13216919600017718	0.4530952770001022	0	0.13741725299951213	0.7689524559991696	-40.37814178799999
v	10	42.67845148000015	0.16784844100038754	0.4853919559991482	0	0.1328192399996624	0.8012626330000785	-42.67845148000015
n	11	45.010097005000716	0.26007186499919044	0.569613161000234	0	0.14082708099886077	0.8688892989994201	0.6363059269988298
v	12	48.13459705000059	0.27055740099967807	0.5774688049987162	0	0.12052513500020723	0.8767494820003776	-48.13459705000059
v	13	51.26694536600007	0.08244840500083228	0.3942551990003267	0	0.1316512920002424	0.7101199379994796	-51.26694536600007
n	14	53.50792483300029	0.097358852999605	0.4025467829997069	0	0.12221768299968971	0.7184519809998164	-53.50792483300029
v	15	55.75673220799945	0.34454435400039074	0.6529659059997357	0	0.11102670000036596	0.9688612150002882	0.5536759570004506
v	16	58.25591225199969	0.28556723700057773	0.6030361190005351	0	0.18978490100016643	0.918893742000364	-58.25591225199969
v	17	60.705315266999605	0.021104802000991185	0.3362743400011823	0	0.23926944999948319	0.6521479390012246	0.2696162610009196
n	18	62.88824997300071	0.2771873570000025	0.5858601429990813	0	0.11904806900020048	0.9017672629997833	-62.88824997300071
v	19	65.32022485800007	0.1742049730000872	0.4865230489995156	0	0.16216118200100027	0.7857705160004116	-65.32022485800007
v	20	68.36113560800004	0.19738705800045864	0.5113335959995311	0	0.25643507200038584	0.8272424650003813	0.5780437470002653
n	21	70.71894294599952	0.06288259900065896	0.369497969000804	0	0.12855371600016952	0.668750030999945	-70.71894294599952
n	22	73.64299912800016	0.12276120299975446	0.4446228729993891	0	0.24144633099967905	0.7603979140003503	0.4778542860003654
v	23	75.93351448199974	0.033720540999638615	0.3532971570002701	0	0.13831893099995796	0.6691989009996178	-75.93351448199974
v	24	78.13289227300083	0.21834480500001519	0.5365110269995057	0	0.14771993700014718	0.8357447769994906	0.5032312859984813
v	25	81.22400268800084	0.18350295399977767	0.4944301959985751	0	0.13074095800038776	0.7936902980000013	0.5944640559991967
n	26	84.27324613400015	0.3085187209999276	0.6275516580008116	0	0.11646944099811662	0.9434468319996085	-84.27324613400015
v	27	86.7469945970006	0.24356754299878958	0.5530531029999111	0	0.13322137099930842	0.8522847770000226	0.5864435299990873
v	28	89.85451764000027	0.17644743100026972	0.49456190099954256	0	0.14913184299985005	0.7938103140004387	0.5612930150000466
v	29	92.9035942570008	0.04637821199867176	0.3612626359990827	0	0.14451673300027323	0.6605136229991331	0.26142782699935196
n	30	95.81977285799985	0.03426220099936472	0.34417602900066413	0	0.18946648000019195	0.6434113710001839	0.4442322070008231
v	31	98.71838225200008	0.8796896189996914	1.1944412659995578	0	0.16073377599968808	1.5102964470006555	1.1277509690007719
n	32	101.7597371819993	0.08631592500023544	0.40237952200004656	0	0.14341245499963406	0.7015928870005155	0.43574020200139785
n	33	104.71669085999929	0.2980479940015357	0.6110726380011329	0	0.31385819999923115	0.9285611600007542	-104.71669085999929
v	34	107.90005350300089	0.25835621199985326	0.5767379279986926	0	0.4128022360000614	0.8933030849984789	-107.90005350300089
v	35	110.32500553200043	0.22528906899970025	0.5343607929989957	0	0.11849647500093852	0.833616128000358	-110.32500553200043
v	36	113.41399891299989	0.24039166900001874	0.5610695110008237	0	0.12266030799946748	0.8603282240001136	0.5610973420007213
n	37	116.52942035500018	0.1742947210004786	0.49470616200051154	0	0.15364526599842065	0.8106004959990969	0.4614215290002903
n	38	118.87091508900085	16.696982442999797	17.01410664099967	0	0.1730930409994471	17.313277303999712	-118.87091508900085
v	39	138.4393541490008	0.2793073109987745	0.5945605739998427	0	0.256235562999791	0.8937956259997009	-138.4393541490008
v	40	141.58834336700056	0.1386112479995063	0.4446604570002819	0	0.0971899959986331	0.7438768880001589	-141.58834336700056
n	41	144.58742043299935	0.14748105299986491	0.46128926900018996	0	0.2015512520010816	0.7772555290011951	-144.58742043299935
v	42	146.89573231299983	0.07126008300110698	0.3856391919998714	0	0.024838478999299696	0.7015112009994482	0.41983721399992646
n	43	149.12746386400067	0.00851817500006291	0.3199056599987671	0	0.1469559670003946	0.6357577919989126	0.25328504299977794
v	44	151.29354665199935	0.2667010500008473	0.5863630350013409	0	0.29050249899955816	0.9022385340012988	0.719725033000941
v	45	153.72737869900084	0.2397147159990709	0.5517860669988295	0	0.10723398499976611	0.8676839379986632	0.6517814169983467
n	46	156.12533889900078	0.1784188549991086	0.48642491399914434	0	0.1506010579996655	0.8023633220000193	-156.12533889900078
v	47	158.45834110800024	0.2609112030004326	0.5693780389992753	0	0.1267578990009497	0.8685744880003767	0.6027452199996333
v	48	161.58168570499947	0.28988320300049963	0.6116843780000636	0	0.08114654600103677	0.9275653350014181	-161.58168570499947
n	49	164.0399938699993	0.2632076420013618	0.56928420100121	0	0.08167402599974594	0.868506550001257	-164.0399938699993
v	50	167.16473512099947	0.2833554690005258	0.5935399580012017	0	0.12440111699834233	0.8927845580001303	0.5270157740014838
n	51	170.31479912000032	0.27714478300003975	0.5926039419991866	0	0.24728614299965557	0.8917905210000754	0.5926333789993805
v	52	173.46167878199958	0.2587241070013988	0.5779699880004046	0	0.09934192199943936	0.8772285280010692	0.5779976800004079
v	53	176.59496940099962	0.3003718550007761	0.6104258490013308	0	0.11736366799959796	0.9262751780006511	-176.59496940099962
n	54	179.05123399600052	0.2854916119995323	0.6033610569993471	0	0.08450347399957536	0.9025671319996036	-179.05123399600052
v	55	182.20881996000026	0.2706912689991441	0.5781445920001715	0	0.1120248659990466	0.8773871060002421	-182.20881996000026
v	56	185.3421326839998	0.20175134199962486	0.5105417529994156	0	0.13454326700048114	0.8097393999996711	0.44387316900065343
n	57	188.40736170700075	0.24973779499850934	0.5609632879986748	0	0.09902383100052248	0.8602057309999509	0.6276752769990708
n	58	191.5228156560006	0.4934112159990036	0.8111742509991018	0	0.13315038099972298	1.110382838998703	0.7113694509989728
v	59	194.88931483300075	0.2874670299988793	0.5936427609995008	0	0.14413850699929753	0.8928859949992329	-194.88931483300075
v	60	198.03769255800034	0.08214020699961111	0.3943884939999407	0	0.13108022499909566	0.6936198509993119	-198.03769255800034
n	61	200.98683935500048	0.19729007000023557	0.5109441959994001	0	0.09742107400052191	0.8268054379987007	0.5776051499997266
v	62	203.34448157599945	0.08833731000049738	0.40262203700149257	0	0.09620885299955262	0.7184690820013202	-203.34448157599945
n	63	205.59318458000052	0.2548096680002345	0.5697703999994701	0	0.0644391000005271	0.8690210730001127	-205.59318458000052
v	64	208.71732070300095	0.2986702439993678	0.6113212000000203	0	0.10677991499869677	0.9272212999985641	0.5780031799986318
v	65	211.1750611839998	0.15337743500094803	0.4695714120007324	0	0.10276425699885294	0.7854351229998429	-211.1750611839998
n	66	213.49107699600063	0.10093696199874103	0.41945963199941616	0	0.1008512869993865	0.7353842449992953	0.48622353799873963
v	67	215.75722481900084	0.08377776499946776	0.4026617819999956	0	0.10756582199974218	0.7018582429991511	-215.75722481900084
n	68	218.71509009500005	0.2289717780004139	0.543819311000334	0	0.3528236610000022	0.8602121029998671	-218.71509009500005
v	69	221.10503176199927	0.09655847800058837	0.40313889600110997	0	0.23169880699970236	0.7023851710000599	-221.10503176199927
v	70	224.06295170799967	0.21847919300125795	0.527610649000053	0	0.2290384650004853	0.8434976600001391	0.6276104589996976
n	71	226.43677440800093	0.10743184499915515	0.4201748169998609	0	0.154625353998199	0.7356683009984408	-226.43677440800093
v	72	228.70271955499993	0.01889971099990362	0.3364456090002932	0	0.09244143999967491	0.6523363209998934	0.3031475190000492
n	73	230.88551711900072	0.2588447759990231	0.5695511809990421	0	0.0926512250007363	0.8687989219997689	-230.88551711900072
v	74	234.01005898100084	0.2873061729987967	0.5940237309987424	0	0.1357152100008534	0.909971223998582	-234.01005898100084
n	75	236.45080299800065	0.17440779299977294	0.48598535299970536	0	0.08305190099963511	0.8018027289999736	-236.45080299800065
v	76	238.78373762800038	0.06534683800055063	0.3856043710002268	0	0.10647892799897818	0.701504593998834	-238.78373762800038
n	77	241.01516981799978	0.24157737899986387	0.5534243969996169	0	0.06730425000023388	0.8693380330005311	-241.01516981799978
v	78	243.4147035370006	0.21859183899869095	0.5364678899986757	0	0.09279867800069042	0.8524379579994275	0.5698969659988506
v	79	245.7977523640002	0.22675426100067853	0.5360758290007652	0	0.1421389619990805	0.8519234049999795	-245.7977523640002
n	80	248.18259411500003	0.21866194100039138	0.5337526870007423	0	0.09565231599844992	0.8496552550004708	0.4338428669998393
v	81	250.56339320500047	0.18925529999978608	0.5023132549995353	0	0.13833229599913466	0.8181273549998878	0.6355766079996101
v	82	252.91189094100082	0.13683239799865987	0.4530386569986149	0	0.08708788500007358	0.7689251559986587	0.41979732899926603
n	83	255.21116587100005	0.2391310959992552	0.5530139959992084	0	0.10415427000043564	0.8522450729997217	0.5530428609999944
v	84	258.31895314900066	0.2751199659996928	0.5942910590001702	0	0.09924496599887789	0.9101332879999973	-258.31895314900066
n	85	260.76013044499996	0.1286994100009906	0.43571471399991424	0	0.12837120500080346	0.7515915170006338	-260.76013044499996
v	86	263.0419668279992	0.10309912800039456	0.41987552500177117	0	0.11839895299817726	0.7357101430006878	-263.0419668279992
n	87	265.3081848590009	0.14915405899955658	0.46959141099978297	0	0.09056747999966319	0.7687635429992952	0.46961811799883435
v	88	268.33235284299917	0.26881190500171215	0.5777640470005281	0	0.12626366100084851	0.8769575920014177	-268.33235284299917
n	89	271.464678712	0.12825765299930936	0.4444364230002975	0	0.12728929100012465	0.760354787000324	0.5787008160004916
v	90	273.7552569119998	0.2624608210007864	0.5697556260001875	0	0.07945863299937628	0.8690079139996669	0.5697835880000639
n	91	276.8806950899998	0.03351807299986831	0.3434727510011726	0	0.1962514379993081	0.6426667369996721	-276.8806950899998
v	92	279.7789915249996	0.2625268440006039	0.577521331000753	0	0.1360504669992224	0.8767197289998876	0.7108469779996085
v	93	282.91098396300004	0.29815154099924257	0.6112857030002488	0	0.10631009600001562	0.9270763950007677	0.7441911610003444
n	94	285.3683827269997	0.29782090300068376	0.6030435960001341	0	0.12920695200045884	0.9189095060010004	0.7372488319997501
v	95	287.81825426199975	0.14301139199960744	0.4524479070005327	0	0.0779876519991376	0.7516499450011906	0.5521309169998858
v	96	290.8253803789994	0.272839107999971	0.5942976630012708	0	0.10504144499827817	0.9102081050004927	0.5276856520013098
