trial,speed,player_pos,ball_pos,direction,distance,broad,jitter,trial_nr,block
27,0.5,4,0,-,8.5,4.25,0.75,1,0
6,0.5,4,0,+,3.0,1.5,0.45,2,0
16,0.5,4,0,+,5.5,2.75,0.6,3,0
19,0.5,4,0,-,6.5,3.25,0.9,4,0
25,0.5,4,0,-,8.0,4.0,0.3,5,0
9,0.5,4,0,-,4.0,2.0,0.75,6,0
3,0.5,4,0,-,2.5,1.25,0.75,7,0
28,0.5,4,0,+,8.5,4.25,0.75,8,0
7,0.5,4,0,-,3.5,1.75,0.75,9,0
13,0.5,4,0,-,5.0,2.5,0.75,10,0
2,0.5,4,0,+,2.0,1.0,0.45,11,0
22,0.5,4,0,+,7.0,3.5,0.6,12,0
10,0.5,4,0,+,4.0,2.0,0.9,13,0
1,0.5,4,0,-,2.0,1.0,0.3,14,0
18,0.5,4,0,+,6.0,3.0,0.3,15,0
12,0.5,4,0,+,4.5,2.25,0.75,16,0
26,0.5,4,0,+,8.0,4.0,0.9,17,0
5,0.5,4,0,-,3.0,1.5,0.6,18,0
15,0.5,4,0,-,5.5,2.75,0.3,19,0
24,0.5,4,0,+,7.5,3.75,0.75,20,0
20,0.5,4,0,+,6.5,3.25,0.9,21,0
23,0.5,4,0,-,7.5,3.75,0.75,22,0
14,0.5,4,0,+,5.0,2.5,0.6,23,0
4,0.5,4,0,+,2.5,1.25,0.9,24,0
11,0.5,4,0,-,4.5,2.25,0.3,25,0
21,0.5,4,0,-,7.0,3.5,0.3,26,0
17,0.5,4,0,-,6.0,3.0,0.9,27,0
8,0.5,4,0,+,3.5,1.75,0.3,28,0
