trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change	change_loc	trial_nr	block
51	0.5	4	0	+	9	4.5	0.9	1	-3	1	0
47	0.5	4	0	-	9	4.5	0.75	0	0	2	0
33	0.5	4	0	-	9	4.5	0.44999999999999996	1	-1	3	0
23	0.5	4	0	+	9	4.5	0.44999999999999996	1	-7	4	0
79	0.5	4	0	-	9	4.5	0.9	0	0	5	0
93	0.5	4	0	+	9	4.5	0.75	0	0	6	0
49	0.5	4	0	+	9	4.5	0.6	1	-1	7	0
74	0.5	4	0	-	9	4.5	0.6	0	0	8	0
95	0.5	4	0	+	9	4.5	0.75	0	0	9	0
62	0.5	4	0	+	9	4.5	0.3	0	0	10	0
70	0.5	4	0	-	9	4.5	0.44999999999999996	1	-6	11	0
42	0.5	4	0	-	9	4.5	0.6	0	0	12	0
61	0.5	4	0	+	9	4.5	0.9	0	0	13	0
12	0.5	4	0	-	9	4.5	0.3	0	0	14	0
65	0.5	4	0	-	9	4.5	0.3	1	-1	15	0
58	0.5	4	0	+	9	4.5	0.9	0	0	16	0
66	0.5	4	0	-	9	4.5	0.75	1	-2	17	0
44	0.5	4	0	-	9	4.5	0.44999999999999996	0	0	18	0
76	0.5	4	0	-	9	4.5	0.6	0	0	19	0
38	0.5	4	0	-	9	4.5	0.9	1	-6	20	0
94	0.5	4	0	+	9	4.5	0.9	0	0	21	0
21	0.5	4	0	+	9	4.5	0.9	1	-5	22	0
28	0.5	4	0	+	9	4.5	0.3	0	0	23	0
19	0.5	4	0	+	9	4.5	0.6	1	-3	24	0
87	0.5	4	0	+	9	4.5	0.3	1	-7	25	0
14	0.5	4	0	-	9	4.5	0.6	0	0	26	0
85	0.5	4	0	+	9	4.5	0.9	1	-5	27	0
22	0.5	4	0	+	9	4.5	0.44999999999999996	1	-6	28	0
81	0.5	4	0	+	9	4.5	0.75	1	-1	29	0
71	0.5	4	0	-	9	4.5	0.44999999999999996	1	-7	30	0
34	0.5	4	0	-	9	4.5	0.9	1	-2	31	0
69	0.5	4	0	-	9	4.5	0.75	1	-5	32	0
32	0.5	4	0	+	9	4.5	0.3	0	0	33	0
41	0.5	4	0	-	9	4.5	0.6	0	0	34	0
16	0.5	4	0	-	9	4.5	0.44999999999999996	0	0	35	0
20	0.5	4	0	+	9	4.5	0.44999999999999996	1	-4	36	0
83	0.5	4	0	+	9	4.5	0.44999999999999996	1	-3	37	0
91	0.5	4	0	+	9	4.5	0.75	0	0	38	0
75	0.5	4	0	-	9	4.5	0.75	0	0	39	0
10	0.5	4	0	-	9	4.5	0.44999999999999996	0	0	40	0
45	0.5	4	0	-	9	4.5	0.6	0	0	41	0
5	0.5	4	0	-	9	4.5	0.6	1	-5	42	0
50	0.5	4	0	+	9	4.5	0.6	1	-2	43	0
8	0.5	4	0	-	9	4.5	0.75	1	-8	44	0
7	0.5	4	0	-	9	4.5	0.6	1	-7	45	0
80	0.5	4	0	-	9	4.5	0.6	0	0	46	0
53	0.5	4	0	+	9	4.5	0.6	1	-5	47	0
26	0.5	4	0	+	9	4.5	0.6	0	0	48	0
64	0.5	4	0	+	9	4.5	0.6	0	0	49	0
82	0.5	4	0	+	9	4.5	0.9	1	-2	50	0
4	0.5	4	0	-	9	4.5	0.75	1	-4	51	0
52	0.5	4	0	+	9	4.5	0.75	1	-4	52	0
92	0.5	4	0	+	9	4.5	0.9	0	0	53	0
60	0.5	4	0	+	9	4.5	0.44999999999999996	0	0	54	0
78	0.5	4	0	-	9	4.5	0.75	0	0	55	0
18	0.5	4	0	+	9	4.5	0.9	1	-2	56	0
6	0.5	4	0	-	9	4.5	0.6	1	-6	57	0
1	0.5	4	0	-	9	4.5	0.44999999999999996	1	-1	58	0
11	0.5	4	0	-	9	4.5	0.6	0	0	59	0
9	0.5	4	0	-	9	4.5	0.3	0	0	60	0
86	0.5	4	0	+	9	4.5	0.3	1	-6	61	0
57	0.5	4	0	+	9	4.5	0.6	0	0	62	0
96	0.5	4	0	+	9	4.5	0.6	0	0	63	0
67	0.5	4	0	-	9	4.5	0.44999999999999996	1	-3	64	0
29	0.5	4	0	+	9	4.5	0.3	0	0	65	0
54	0.5	4	0	+	9	4.5	0.3	1	-6	66	0
48	0.5	4	0	-	9	4.5	0.9	0	0	67	0
31	0.5	4	0	+	9	4.5	0.3	0	0	68	0
13	0.5	4	0	-	9	4.5	0.75	0	0	69	0
39	0.5	4	0	-	9	4.5	0.3	1	-7	70	0
73	0.5	4	0	-	9	4.5	0.9	0	0	71	0
3	0.5	4	0	-	9	4.5	0.3	1	-3	72	0
25	0.5	4	0	+	9	4.5	0.6	0	0	73	0
63	0.5	4	0	+	9	4.5	0.75	0	0	74	0
77	0.5	4	0	-	9	4.5	0.9	0	0	75	0
59	0.5	4	0	+	9	4.5	0.75	0	0	76	0
43	0.5	4	0	-	9	4.5	0.6	0	0	77	0
37	0.5	4	0	-	9	4.5	0.6	1	-5	78	0
27	0.5	4	0	+	9	4.5	0.44999999999999996	0	0	79	0
17	0.5	4	0	+	9	4.5	0.75	1	-1	80	0
