trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change_loc	trial_nr	block
1	0.5	5	1	-	9	5	0.9	-1	1	0
4	0.5	5	1	-	9	5	0.6	-4	2	0
11	0.5	5	1	+	9	5	0.44999999999999996	-3	3	0
6	0.5	5	1	-	9	5	0.44999999999999996	-6	4	0
2	0.5	5	1	-	9	5	0.44999999999999996	-2	5	0
15	0.5	5	1	+	9	5	0.44999999999999996	-7	6	0
10	0.5	5	1	+	9	5	0.6	-2	7	0
5	0.5	5	1	-	9	5	0.44999999999999996	-5	8	0
14	0.5	5	1	+	9	5	0.44999999999999996	-6	9	0
12	0.5	5	1	+	9	5	0.44999999999999996	-4	10	0
13	0.5	5	1	+	9	5	0.75	-5	11	0
8	0.5	5	1	-	9	5	0.75	-8	12	0
3	0.5	5	1	-	9	5	0.3	-3	13	0
7	0.5	5	1	-	9	5	0.44999999999999996	-7	14	0
9	0.5	5	1	+	9	5	0.6	-1	15	0
16	0.5	5	1	+	9	5	0.3	-8	16	0
