trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	trial_nr	block
37	0.5	4	0	-	6.5	3.25	0.45	43	1
28	0.5	4	0	+	5.0	2.5	0.6	44	1
5	0.5	4	0	-	2.5	1.25	0.75	45	1
36	0.5	4	0	+	6.0	3.0	0.9	46	1
39	0.5	4	0	+	6.5	3.25	0.45	47	1
34	0.5	4	0	-	6.0	3.0	0.3	48	1
16	0.5	4	0	+	3.5	1.75	0.9	49	1
6	0.5	4	0	-	2.5	1.25	0.3	50	1
22	0.5	4	0	-	4.5	2.25	0.75	51	1
23	0.5	4	0	+	4.5	2.25	0.6	52	1
56	0.5	4	0	+	8.5	4.25	0.45	53	1
14	0.5	4	0	-	3.5	1.75	0.45	54	1
42	0.5	4	0	-	7.0	3.5	0.45	55	1
32	0.5	4	0	+	5.5	2.75	0.45	56	1
24	0.5	4	0	+	4.5	2.25	0.45	1	2
54	0.5	4	0	-	8.5	4.25	0.45	2	2
19	0.5	4	0	+	4.0	2.0	0.75	3	2
40	0.5	4	0	+	6.5	3.25	0.45	4	2
34	0.5	4	0	-	6.0	3.0	0.3	5	2
53	0.5	4	0	-	8.5	4.25	0.9	6	2
10	0.5	4	0	-	3.0	1.5	0.6	7	2
27	0.5	4	0	+	5.0	2.5	0.9	8	2
35	0.5	4	0	+	6.0	3.0	0.9	9	2
9	0.5	4	0	-	3.0	1.5	0.3	10	2
23	0.5	4	0	+	4.5	2.25	0.6	11	2
56	0.5	4	0	+	8.5	4.25	0.45	12	2
13	0.5	4	0	-	3.5	1.75	0.75	13	2
43	0.5	4	0	+	7.0	3.5	0.9	14	2
42	0.5	4	0	-	7.0	3.5	0.45	15	2
12	0.5	4	0	+	3.0	1.5	0.75	16	2
22	0.5	4	0	-	4.5	2.25	0.75	17	2
1	0.5	4	0	-	2.0	1.0	0.45	18	2
2	0.5	4	0	-	2.0	1.0	0.6	19	2
45	0.5	4	0	-	7.5	3.75	0.75	20	2
29	0.5	4	0	-	5.5	2.75	0.6	21	2
15	0.5	4	0	+	3.5	1.75	0.45	22	2
30	0.5	4	0	-	5.5	2.75	0.3	23	2
38	0.5	4	0	-	6.5	3.25	0.75	24	2
37	0.5	4	0	-	6.5	3.25	0.45	25	2
8	0.5	4	0	+	2.5	1.25	0.45	26	2
4	0.5	4	0	+	2.0	1.0	0.9	27	2
46	0.5	4	0	-	7.5	3.75	0.45	28	2
39	0.5	4	0	+	6.5	3.25	0.45	29	2
44	0.5	4	0	+	7.0	3.5	0.6	30	2
11	0.5	4	0	+	3.0	1.5	0.45	31	2
51	0.5	4	0	+	8.0	4.0	0.3	32	2
20	0.5	4	0	+	4.0	2.0	0.6	33	2
31	0.5	4	0	+	5.5	2.75	0.45	34	2
41	0.5	4	0	-	7.0	3.5	0.75	35	2
49	0.5	4	0	-	8.0	4.0	0.6	36	2
47	0.5	4	0	+	7.5	3.75	0.75	37	2
50	0.5	4	0	-	8.0	4.0	0.9	38	2
33	0.5	4	0	-	6.0	3.0	0.9	39	2
52	0.5	4	0	+	8.0	4.0	0.6	40	2
28	0.5	4	0	+	5.0	2.5	0.6	41	2
18	0.5	4	0	-	4.0	2.0	0.9	42	2
48	0.5	4	0	+	7.5	3.75	0.75	43	2
16	0.5	4	0	+	3.5	1.75	0.9	44	2
55	0.5	4	0	+	8.5	4.25	0.9	45	2
17	0.5	4	0	-	4.0	2.0	0.9	46	2
21	0.5	4	0	-	4.5	2.25	0.45	47	2
3	0.5	4	0	+	2.0	1.0	0.45	48	2
25	0.5	4	0	-	5.0	2.5	0.3	49	2
32	0.5	4	0	+	5.5	2.75	0.45	50	2
5	0.5	4	0	-	2.5	1.25	0.75	51	2
14	0.5	4	0	-	3.5	1.75	0.45	52	2
26	0.5	4	0	-	5.0	2.5	0.9	53	2
6	0.5	4	0	-	2.5	1.25	0.3	54	2
36	0.5	4	0	+	6.0	3.0	0.9	55	2
7	0.5	4	0	+	2.5	1.25	0.6	56	2
26	0.5	4	0	-	5.0	2.5	0.9	1	3
4	0.5	4	0	+	2.0	1.0	0.9	2	3
46	0.5	4	0	-	7.5	3.75	0.45	3	3
55	0.5	4	0	+	8.5	4.25	0.9	4	3
29	0.5	4	0	-	5.5	2.75	0.6	5	3
53	0.5	4	0	-	8.5	4.25	0.9	6	3
48	0.5	4	0	+	7.5	3.75	0.75	7	3
40	0.5	4	0	+	6.5	3.25	0.45	8	3
13	0.5	4	0	-	3.5	1.75	0.75	9	3
6	0.5	4	0	-	2.5	1.25	0.3	10	3
54	0.5	4	0	-	8.5	4.25	0.45	11	3
43	0.5	4	0	+	7.0	3.5	0.9	12	3
15	0.5	4	0	+	3.5	1.75	0.45	13	3
47	0.5	4	0	+	7.5	3.75	0.75	14	3
34	0.5	4	0	-	6.0	3.0	0.3	15	3
21	0.5	4	0	-	4.5	2.25	0.45	16	3
1	0.5	4	0	-	2.0	1.0	0.45	17	3
18	0.5	4	0	-	4.0	2.0	0.9	18	3
41	0.5	4	0	-	7.0	3.5	0.75	19	3
17	0.5	4	0	-	4.0	2.0	0.9	20	3
38	0.5	4	0	-	6.5	3.25	0.75	21	3
23	0.5	4	0	+	4.5	2.25	0.6	22	3
37	0.5	4	0	-	6.5	3.25	0.45	23	3
35	0.5	4	0	+	6.0	3.0	0.9	24	3
52	0.5	4	0	+	8.0	4.0	0.6	25	3
