trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change	change_loc	trial_nr	block
27	0.5	5	1	+	9	5	0.6	0	0	1	0
17	0.5	5	1	+	9	5	0.3	1	-1	2	0
26	0.5	5	1	+	9	5	0.3	0	0	3	0
21	0.5	5	1	+	9	5	0.6	1	-5	4	0
16	0.5	5	1	-	9	5	0.44999999999999996	0	0	5	0
6	0.5	5	1	-	9	5	0.75	1	-6	6	0
7	0.5	5	1	-	9	5	0.6	1	-7	7	0
14	0.5	5	1	-	9	5	0.75	0	0	8	0
5	0.5	5	1	-	9	5	0.6	1	-5	9	0
19	0.5	5	1	+	9	5	0.9	1	-3	10	0
13	0.5	5	1	-	9	5	0.44999999999999996	0	0	11	0
11	0.5	5	1	-	9	5	0.6	0	0	12	0
18	0.5	5	1	+	9	5	0.6	1	-2	13	0
23	0.5	5	1	+	9	5	0.75	1	-7	14	0
9	0.5	5	1	-	9	5	0.6	0	0	15	0
15	0.5	5	1	-	9	5	0.3	0	0	16	0
2	0.5	5	1	-	9	5	0.3	1	-2	17	0
10	0.5	5	1	-	9	5	0.6	0	0	18	0
28	0.5	5	1	+	9	5	0.3	0	0	19	0
31	0.5	5	1	+	9	5	0.6	0	0	20	0
4	0.5	5	1	-	9	5	0.75	1	-4	21	0
30	0.5	5	1	+	9	5	0.75	0	0	22	0
1	0.5	5	1	-	9	5	0.75	1	-1	23	0
3	0.5	5	1	-	9	5	0.6	1	-3	24	0
22	0.5	5	1	+	9	5	0.6	1	-6	25	0
20	0.5	5	1	+	9	5	0.3	1	-4	26	0
8	0.5	5	1	-	9	5	0.75	1	-8	27	0
32	0.5	5	1	+	9	5	0.9	0	0	28	0
12	0.5	5	1	-	9	5	0.6	0	0	29	0
24	0.5	5	1	+	9	5	0.44999999999999996	1	-8	30	0
29	0.5	5	1	+	9	5	0.3	0	0	31	0
25	0.5	5	1	+	9	5	0.6	0	0	32	0
