response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
v	1	22.07594235169796	23.385681689611204	0	0	24.017897956327772	24.19468699940967	23.994791191991055	[-5]	1
n	2	26.00285359587565	26.179829088039867	0	0	26.813188271015633	26.98835654060923	26.790175928639997	[5]	1
[]	3	28.77202228029853	29.024359223835063	0	0	0.0	29.83519221437558	29.32859868778104	[5]	na
v	4	31.641932218168904	32.099868876633195	0	0	32.80010836622586	32.92890067384434	32.90449054425636	[-5]	1
n	5	34.687987966536866	35.015945816573435	0	0	35.738197939003385	35.7991846047866	35.52624848411699	[-5]	0
[]	6	37.58562922384323	38.01167917552385	0	0	0.0	38.82027108134491	38.31278465142282	[-5]	na
n	7	40.578825916282995	40.91108407085096	0	0	41.520214578616105	41.73839164094693	41.71384028894761	[5]	1
v	8	43.524093610753255	44.00426171468638	0	0	44.627108449152956	44.81076771622833	44.73658243406675	[-5]	1
v	9	46.59535427530324	46.79742671418961	0	0	47.44080529882581	47.578930190970425	47.50397639615181	[5]	0
n	10	49.36450284374314	49.56665246231944	0	0	50.20011633051297	50.3749886077851	50.00163760522918	[5]	1
v	11	52.15878448556862	52.4132693234543	0	0	53.0342259765784	53.219632460463856	52.81903620630624	[-5]	1
n	12	55.00347719134896	55.129702521558954	0	0	55.830958073558804	55.937368271101036	55.662062159208574	[5]	1
