response	trial	t_start	t_set	t_ball	t_release	t_response	t_goal
n	0	14.1730570793	1.2611079216	1.8012149334	0	0.0868210792542	0
v	1	17.7183411121	0.794972896576	1.33826899529	0	0.0525460243225	0
v	2	20.8004961014	0.257812976837	0.805308818817	0	0.119363069534	0
v	3	23.3498940468	0.0516810417175	0.605194091797	0	0.0100958347321	0
n	4	25.6324601173	0.249469995499	0.789464950562	0	0.119230031967	0
v	5	28.0315351486	0.266132831573	0.822381973267	0	0.0952599048615	0
n	6	30.5643160343	0.277095079422	0.821710109711	0	0.0352277755737	0
v	7	33.0639529228	0.314024209976	0.854582071304	0	0.0547440052032	0
n	8	35.5957911015	0.253749847412	0.805302858353	0	0.0686039924622	0
v	9	38.1793000698	0.206265926361	0.754333972931	0	0.0318911075592	0
n	10	40.7445039749	1.13814115524	1.68799114227	0	0.092885017395	0
n	11	44.0434770584	0.286933898926	0.83825802803	0	0.187669992447	0
v	12	46.6590850353	0.28701710701	0.838459968567	0	0.01185297966	0
v	13	49.1416721344	0.0999109745026	0.655131816864	0	0.0488750934601	0
n	14	51.4559071064	0.0745489597321	0.623648881912	0	0.117766141891	0
n	15	53.6900429726	0.311967134476	0.855234146118	0	0.0122399330139	0
v	16	56.1893019676	0.228811979294	0.771893978119	0	0.0602600574493	0
v	17	58.6723401546	0.0744757652283	0.621472835541	0	0.00783014297485	0
n	18	61.0045630932	0.309808015823	0.855054855347	0	0.0899691581726	0
n	19	63.6704819202	0.283230066299	0.838338136673	0	0.072802066803	0
v	20	66.3193769455	0.226694107056	0.77191901207	0	0.00235104560852	0
v	21	68.8688700199	0.277084112167	0.821598052979	0	0.0591859817505	0
n	22	71.5012469292	0.0371901988983	0.588488101959	0	0.107965946198	0
v	23	73.8008890152	0.266094923019	0.804696083069	0	0.216246843338	0
n	24	76.3829231262	0.083114862442	0.639554977417	0	0.151135921478	0
n	25	78.6654360294	0.185030937195	0.738617897034	0	0.0659301280975	0
v	26	81.1481330395	0.286881923676	0.838485956192	0	0.107114076614	0
v	27	83.597244978	0.0455141067505	0.5886759758	0	0.0359179973602	0
