response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
v	1	16.87730933537614	17.83463840904733	18.42975416626632	0	18.721416299704288	19.020669377808417	18.646909897638352	[5]	0
n	2	20.80444349748791	21.132382463132217	21.727808170701792	0	22.085917911856768	22.318492664234782	21.84409948954658	[5]	1
[]	3	24.10517498031504	24.53090184467669	25.12997470312507	0	0.0	25.71974084045405	25.130382359678606	[-5]	na
n	4	27.525997239594517	28.030363639498546	28.630464465731848	0	29.19571258924975	29.22316548392905	29.04444318548485	[-5]	0
v	5	31.025510350699506	31.330915310069486	31.922028397199483	0	32.38569614340713	32.51463047760262	32.03960221259399	[5]	0
[]	6	34.27270540266045	34.72620915531752	35.32023413362094	0	0.0	35.91585196935466	35.32056871578743	[5]	na
v	7	37.746861701385114	38.276290563469274	38.88193929571071	0	39.3068172687199	39.487200487381415	38.98788278868278	[5]	0
[]	8	41.27113553492495	41.978780922165924	42.58315701058427	0	0.0	43.18655644750106	42.58355850918406	[5]	na
[]	9	44.9465518331408	46.65880049624889	47.2718404153909	0	0.0	47.873526298979414	47.27220455573638	[-5]	na
v	10	49.657170280564515	50.7119953659344	51.29989359055526	0	51.71650676825902	51.898537034345736	51.825170349533664	[-5]	1
n	11	53.68196179276924	54.085265904558355	54.689430569889964	0	55.02037552337515	55.2965777376005	54.99850525930333	[-5]	0
v	12	57.08046885840554	57.609701487022676	58.2074286272607	0	58.57432494768864	58.795740666389065	58.72181155511316	[-5]	1
[]	13	60.55496918149288	60.75627187613145	61.34888955668475	0	0.0	61.94510348236395	61.3492417916525	[5]	na
n	14	63.72639758870946	64.15496655409925	64.75688767152974	0	65.27837532139438	65.36405043939044	64.9680406293594	[-5]	0
v	15	67.09963651650287	67.45280872491753	68.05535425888206	0	68.46104076303868	68.66475811146233	68.16196568459623	[-5]	1
n	16	70.44791191991044	70.90158440050664	71.50781198042273	0	71.86222366494576	72.11285887529493	71.71365267661622	[-5]	0
n	17	73.89676108041704	74.22686313003055	74.82577177637268	0	75.38563374280693	75.43586573032917	75.13609037249057	[5]	1
[]	18	77.19427646914414	77.97682844022302	78.58227478104368	0	0.0	79.18941948557267	78.5826085421495	[-5]	na
v	19	80.99579042265736	81.2766132402578	81.87967398970545	0	82.36138741479476	82.48454723027544	82.18590124119714	[-5]	1
[]	20	84.24742946474248	84.72220853788008	85.31921807121375	0	0.0	85.91095434328713	85.31955265338024	[-5]	na
n	21	87.69214089070283	87.94444047598517	88.53872121464406	0	88.85541830473403	89.13054944549685	88.8625593934662	[5]	1
v	22	90.91442045031886	91.49402924781816	92.08082930397882	0	92.40479770613183	92.68014642793514	92.50625976548872	[-5]	1
n	23	94.463884010421	94.84217533419223	95.44426435850119	0	95.94732987323073	96.0533976716365	95.85649914568648	[5]	1
v	24	97.81214586632973	98.24315050778478	98.84878363987627	0	99.21093299884387	99.45193757969423	99.15394310214742	[5]	0
[]	25	101.23582787943883	101.43776566439806	102.0310865832962	0	0.0	102.62693103173638	102.4510089602336	[-5]	na
n	26	104.43271080523868	104.73547030757754	105.3403205584525	0	105.6869769157297	105.94680718296604	105.84862599625421	[-5]	0
v	27	107.70543878706371	108.05855146858994	108.66114051876252	0	109.06968308197634	109.26983210133199	109.07848558669298	[5]	0
v	28	111.05372445372791	111.51006825476202	112.10922486138452	0	112.69466820025423	112.71871040948758	112.31985767736751	[-5]	1
v	29	114.50245373939697	114.85547405161356	115.46128781702168	0	115.91711279303695	116.06684212730215	115.66853950573795	[5]	0
n	30	117.82553695306069	118.1533712334874	118.75680433388584	0	119.08800792143848	119.3646083500214	119.06659293543089	[-5]	0
v	31	121.14851917627925	121.52670212006046	122.12701765362249	0	122.63996298972188	122.71308286060776	122.64125402217019	[-5]	1
v	32	124.47135812443503	124.87481946931575	125.47380652693869	0	125.82049531610664	126.06102245025818	125.58767243297484	[-5]	1
v	33	127.81956414822776	128.1727018721001	128.77280721416628	0	129.2288477185707	129.3588900739528	128.88483804991552	[-5]	1
v	34	131.11731600238772	131.57113627387957	132.15835219719906	0	132.47847762553647	132.7571713479433	132.48813813850802	[-5]	1
v	35	134.54114703798314	135.04527491980298	135.64940099528962	0	136.20724479493856	136.2564553831603	136.15959569337338	[5]	0
n	36	138.04035512510086	138.36852521928472	138.97382212708862	0	139.40026093616734	139.57944089062084	139.18097323588995	[5]	1
b	37	141.3632671476439	141.71828920543498	142.32035811376113	0	142.76044048568428	142.92758985070645	142.62611695021997	[5]	
v	38	144.18270813679192	144.56140875923802	145.1650811987813	0	145.6687592246667	145.77223041914317	145.27081326866664	[-5]	1
n	39	147.5559840123094	147.9092186213245	148.50491897364145	0	148.84470469639473	149.09519047372737	148.92073727951447	[-5]	0
[]	40	150.87893503522764	151.08099638979684	151.6773207481176	0	0.0	152.27055504512964	151.6776540986932	[5]	na
v	41	154.07622069121794	154.6306258041261	155.22914567830685	0	155.59151343937583	155.8167811635576	155.44364568939113	[-5]	1
n	42	157.6005717044477	157.9535743638628	158.5517227081532	0	158.81725376913005	159.13966239633078	158.9654904153499	[5]	1
v	43	160.90223057514459	161.45270568182104	162.04563372325492	0	162.46155844170335	162.63895423162285	162.5650862893565	[5]	0
n	44	164.39748484527513	164.7004865604706	165.3024844470608	0	165.61067617110984	165.91165060261733	165.4071516014376	[5]	1
v	45	167.67021282710016	168.15161087970887	168.75094976176933	0	169.03439143717037	169.36102606292434	168.96150745071373	[5]	0
n	46	171.11892363890752	171.4721028263366	172.059660310837	0	172.50861957869165	172.6581764902453	172.58192829349946	[5]	1
v	47	174.46720191602685	174.9966229780357	175.59567202572885	0	176.0977629416077	176.18267611543115	176.11501785396126	[5]	0
n	48	177.91580311625307	178.21874530456012	178.81847624302395	0	179.32125561815838	179.40490517982448	179.23287904054155	[5]	1
v	1	184.914500914251	185.4946668013206	186.10070143201165	0	186.45478592391305	186.70534272298164	186.3052370524913	[5]	0
n	2	188.48911068470693	188.7415285027057	189.34801841146123	0	189.74184469624697	189.95277136666346	189.65488034274358	[-5]	0
v	3	191.71406936483572	192.2404791873471	192.83451278678626	0	193.3686230107246	193.4267568847979	193.05373594857542	[5]	0
v	4	195.21056015212616	195.5639216149932	196.16343333029545	0	196.59990426747277	196.7500326371562	196.2748188124674	[-5]	1
v	5	198.508346080298	198.93685880304156	199.53554617357054	0	199.99803980321894	200.1232157328334	199.6475462195499	[-5]	1
[]	6	201.90680675601448	202.26009144972204	202.8641001135527	0	0.0	203.47455451308247	202.86444208526382	[5]	na
[]	7	205.28018690621934	205.55784125123046	206.16179079870312	0	0.0	206.77290697302078	206.1624049519803	[-5]	na
v	8	208.5528060975239	208.83045387405105	209.43041429893333	0	209.7633536084486	210.04176365444187	209.94228765527282	[-5]	1
[]	9	211.82548235253557	212.40502259148047	213.0073213967553	0	0.0	213.61971965709222	213.0076715790717	[5]	na
v	10	215.40423149965886	215.77875251347155	216.3830863172725	0	216.8548554677402	216.9898504602454	216.79281851195924	[5]	0
n	11	218.77366481189097	219.15390615442334	219.75866978341242	0	220.31100262477707	220.3631246936418	220.265767441173	[-5]	0
[]	12	222.1469041502146	222.49998398931962	223.10107706720464	0	0.0	223.71507967981915	223.1014149336131	[-5]	na
[]	13	225.49841494264479	225.94885942376322	226.55468468401887	0	0.0	227.16213769677734	226.5550163924736	[5]	na
[]	14	228.96907475509806	229.24664124663263	229.84938917201794	0	0.0	230.46079189646093	229.84973771221325	[-5]	na
v	15	232.2416947674633	232.97239881865812	233.5687088084194	0	233.96202849885753	234.1584950617314	233.7845717799853	[-5]	1
v	16	235.9423689402654	236.29534984157635	236.8974269605078	0	237.32024612423538	237.50662595848553	237.0045256856472	[-5]	1
v	17	239.2905959011016	239.82268869407858	240.4270939301457	0	240.83263756977	241.0310603093592	240.7327669657791	[5]	0
v	18	242.81491284031927	243.09241077329943	243.69477197917467	0	244.01000676045896	244.30366800581646	244.10406080117446	[5]	0
n	19	246.08755337919774	246.56643200756685	247.15798354102049	0	247.50199526232723	247.75249417662826	247.4796791623869	[-5]	0
v	20	249.53639884493214	249.8138512090527	250.41229841937638	0	250.74404801218202	250.99994663106554	250.52585068028975	[5]	0
v	21	252.78370925589752	253.0109730634672	253.6138371689176	0	254.11717486521297	254.22222578015112	253.72282392274815	[-5]	1
v	22	256.0059485835475	256.33400249766623	256.9272831845983	0	257.30584759623275	257.52002115051937	257.3452649849705	[-5]	1
v	23	259.30374313285506	259.73250340534855	260.33450252352964	0	260.7186304413224	260.94367401597947	260.74439523555	[5]	0
n	24	262.7274982203512	262.98035982156716	263.5852195146383	0	264.0647805295455	264.1899831436274	264.0902751948581	[5]	1
v	25	265.97498433827036	266.45391510398326	267.06461664273274	0	267.4573373695134	267.6652236527834	267.3675998840663	[-5]	1
v	26	269.4250104890482	269.8036327002135	270.40375569508114	0	270.93648941103925	271.0133984762758	270.61510119160516	[5]	0
n	27	272.77208960726216	273.3264906148677	273.9239652789922	0	274.2786811664421	274.51319936909704	274.4385830301567	[-5]	0
n	28	276.2964361046588	276.64969575602026	277.25078226542087	0	277.71161858438745	277.8607325337846	277.3609570938397	[5]	1
v	29	279.644616265045	279.94722263959466	280.5514435475727	0	280.9322728546822	281.1594117758143	280.65416068318814	[5]	0
v	30	282.94229791852945	283.0688902627969	283.66258106946407	0	284.14976891564424	284.25488264171304	284.18116002716056	[5]	0
[]	31	286.0386284348042	286.5931891386829	287.1946225461579	0	0.0	287.8073943890365	287.194970675823	[5]	na
v	32	289.61355513462513	289.7399939405732	290.33287066572416	0	290.675502184278	290.9260676044819	290.8520699346518	[-5]	1
n	33	292.6845686599554	293.2391511219382	293.8324063559937	0	294.32596234765265	294.42526953364586	294.05163033884355	[-5]	0
v	34	296.20905104287	296.5118310717221	297.11401451799225	0	297.5575806497486	297.72308584105735	297.6238672443649	[5]	0
v	35	299.5069847619377	299.8595941333583	300.4614811767767	0	300.9187742090214	301.07126682250396	300.97200101483077	[5]	0
n	36	302.8550988269508	303.03192242291675	303.6321258817163	0	304.06811321424084	304.2181418250698	303.8438445502518	[5]	1
n	37	305.9768460930245	306.3045071296792	306.89853744487596	0	307.392579093839	307.49057299351284	307.2171310995561	[5]	1
v	38	309.27440130318723	309.4522081191392	310.05668273482115	0	310.38858176064355	310.66259708014445	310.3637179098755	[-5]	1
n	39	312.44645659011917	312.7994600705947	313.3970250513778	0	313.812400480331	313.98555590313777	313.8138446405685	[-5]	0
v	40	315.7442884976808	316.0972287564955	316.6944993870784	0	317.26399855149566	317.2905745535279	317.1107015387495	[5]	0
n	41	319.0923073196725	319.39509145382726	319.98984963918497	0	320.3991837047506	320.58112119099746	320.1055337837672	[5]	1
[]	42	322.3650057433183	322.69284207639635	323.28736502791185	0	0.0	323.8818181892823	323.28771438916783	[-5]	na
v	43	325.66285858792367	325.9907084685003	326.5845638978042	0	327.0093322592327	327.1766187413634	326.90375897932313	[5]	0
n	44	328.9606572425339	329.18778188034366	329.78748613434027	0	330.29029465712347	330.3739121974288	329.99975286078006	[-5]	0
v	45	332.1324756535025	332.53596943027424	333.1331041753392	0	333.64945362840035	333.7220435047134	333.5498260583265	[-5]	1
v	46	335.48053758117203	336.00993360083476	336.6025943870659	0	336.967927818773	337.19669490293836	337.02129092063046	[-5]	1
n	47	338.9328783015869	339.25933073713986	339.864630929186	0	340.3439936579748	340.46912360819965	340.06982545074175	[-5]	0
v	48	342.230452396142	342.6054943728616	343.20900588454083	0	343.61664281798903	343.816858753778	343.5184594933892	[5]	0
v	1	349.4018660242689	350.1074702550295	350.7110573042776	0	351.16800179632696	351.3187447298178	351.02105897103047	[5]	0
n	2	353.07744735565143	353.4806467822227	354.0845417291698	0	354.5562369841896	354.6920600162405	354.4947271492697	[-5]	0
v	3	356.4759552423484	356.9548342812477	357.54757060504767	0	357.9405881452103	358.1409067135655	357.86797634031973	[-5]	1
[]	4	359.8994902856223	360.2777914621199	360.8804166389559	0	0.0	361.49191789066253	360.880777084529	[5]	na
n	5	363.2731869546619	363.72916045739635	364.3327590014919	0	364.89850920352455	364.938094909671	364.84132143124	[-5]	0
[]	6	366.6965311013623	367.09996288806406	367.6928740977571	0	0.0	368.2889574748119	368.11480889405607	[-5]	na
v	7	370.0951231467636	370.39775456365965	371.00254159287374	0	371.35594624665555	371.60896910102906	371.4091073676225	[-5]	1
n	8	373.37060209189804	373.64540982004814	374.24148170225544	0	374.6071053788603	374.83125153435685	374.75775676410194	[-5]	0
v	9	376.6150445384285	376.91783688318856	377.51241689841095	0	377.87821956621156	378.1039602212593	377.83082786712293	[5]	0
n	10	379.88782178388533	380.26604537016283	380.86829203809384	0	381.38720443160287	381.4773116343456	381.0778899072777	[5]	1
[]	11	383.2361119663824	383.6392686978063	384.2427555776694	0	0.0	384.85350843270226	384.24308605453325	[5]	na
v	12	386.6596897048041	386.98752234310973	387.5808777465502	0	388.0511993673015	388.17358656482224	387.9014871048339	[-5]	1
v	13	389.9574682434313	390.3355986393385	390.92777458932596	0	391.29029588871435	391.52171540892505	391.3471632769183	[5]	0
n	14	393.2804734563447	393.48244942061865	394.0848254055834	0	394.58773984517507	394.6936598526854	394.2947410251925	[-5]	0
v	15	396.4775760158366	397.03196347594326	397.62643223746386	0	398.00877640125304	398.21802687659533	397.94538797983796	[-5]	1
b	16	399.9775550787931	400.2793925301555	400.8809162542891	0	401.35305693464693	401.4906477100212	401.3914077657546	[5]	
n	17	402.7207318605149	403.07374970954993	403.67630879101307	0	404.27308645998346	404.29428451553736	403.7857631388158	[5]	1
v	18	406.0687186611458	406.09420355896896	406.6925698948303	0	407.2244517604877	407.28125715862143	407.10920720858303	[5]	0
v	19	409.03973727705124	409.2916287952496	409.8963714871952	0	410.2774081120888	410.5031598514538	410.40464490363615	[5]	0
[]	20	412.28680260144824	412.3384756354392	412.9439392185309	0	0.0	413.55177443496655	412.94428324289356	[5]	na
[]	21	415.3329790457142	415.76294668771857	416.36785112858865	0	0.0	416.9759289684114	416.3681967950722	[-5]	na
n	22	418.7566594167022	419.084439917664	419.6808238028732	0	420.08988856058477	420.27059486656526	419.7936190459768	[-5]	0
v	23	422.05443426055695	422.5334656061848	423.1463905768526	0	423.5085777046045	423.7446522274961	423.67031874390864	[5]	0
n	24	425.48074859372855	425.85632056502095	426.459132943658	0	426.817004577259	427.06754290246545	426.66896604668386	[-5]	0
v	25	428.8514668656917	429.10380791453076	429.7093125506492	0	430.02460029033773	430.3150470837161	430.0170312585956	[5]	0
v	26	432.09880601377586	432.32595774658284	432.92771054660466	0	433.4126593607166	433.53731761166637	433.4392021097972	[5]	0
n	27	435.3212140693647	435.57352473896435	436.16661329773206	0	436.65402652502803	436.7847470764086	436.5870155845498	[5]	1
v	28	438.56850888018016	438.921614582692	439.5228324617776	0	439.9073906152887	440.13291040505374	439.73604751313087	[5]	0
[]	29	441.91670176700427	442.1942875534612	442.7831320503442	0	0.0	443.38353461632255	442.78349742228056	[5]	na
