response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	rev_sign
n	1	13.419216454999969	0.8180008630001794	1.1333022520002487	0	0.16799934699974983	1.4658252809999794	-13.419216454999969	['+']
v	2	16.616474541000116	2.044964915000037	2.3512288459996853	0	0.1524605250001514	2.6837760569997045	2.284660446000089	-
n	3	21.030584678000196	0.2796063369996773	0.5863027279997368	0	0.3355120539999916	0.9367910699997992	-21.030584678000196	['+']
v	4	23.696812879999925	0.10071836699989944	0.4191967679998925	0	0.10812554700032706	0.7516766220001045	0.48598157300011735	-
n	5	26.180371224999817	0.1049606550000135	0.41813638100029493	0	0.05752228599976661	0.7673226710003291	-26.180371224999817	['-']
v	6	28.47813583900006	0.3358660620001501	0.6528064260000974	0	0.14116982899986397	1.0020023819997732	0.7528813549997722	+
n	7	31.010423630999867	0.18677896600001986	0.5030676840001433	0	0.13480649199982508	0.8355889250001383	0.6364122310001221	+
v	8	33.57719916099995	0.23548262500025885	0.5520674570002484	0	0.07885608299966407	0.8846027800000229	-33.57719916099995	['-']
n	9	36.19267272600018	0.09262107599988667	0.4024996039997859	0	0.21284775999993144	0.7349739139999656	0.46912049599995953	+
v	10	38.65858240999978	0.2584622260001197	0.5689883930003816	0	0.10845785199990132	0.90152020000005	0.569015137000406	-
n	11	41.29107484699989	0.2980176890000621	0.618976198999917	0	0.12204625599997598	0.9681253550002111	-41.29107484699989	['-']
v	12	43.7897796000002	0.5604053519996341	0.8693278369996733	0	0.14090131500006464	1.2018429509998896	-43.7897796000002	['-']
n	13	46.72254668200003	0.23548228199979349	0.5523589839999659	0	0.10128011200004039	0.9015055820000271	0.5190408769999522	-
v	14	49.154697624000164	0.25003335999963383	0.5693747319996874	0	0.03593987800013565	0.9018844019997232	0.7023581149996971	-
n	15	51.78745688400022	0.12205926199976602	0.4357420579999598	0	0.00873531399975036	0.7849550009996165	-51.78745688400022	['-']
v	16	54.102942402999815	0.23773109600006137	0.5527837090003231	0	0.08823246899964943	0.8853401460000896	-54.102942402999815	['-']
n	17	56.71928451800022	0.22937943199985966	0.5356982679995781	0	0.11294916500037289	0.8681118509998669	0.5023051599996506	+
v	18	59.31849897700022	0.25410888199985493	0.5688558479996573	0	0.08063431600021431	0.9013547189997553	-59.31849897700022	['-']
n	19	61.95063405500014	0.28595498799995767	0.6025590009999178	0	0.1108152719998543	0.9350127459997566	-61.95063405500014	['+']
n	20	64.61662879100004	0.31717103099981614	0.635601546000089	0	0.18777346599972589	0.9681141410001146	-64.61662879100004	['+']
v	21	67.31569989399986	0.24145946900034687	0.5523178850003205	0	0.17189981999990778	0.9014959310002268	0.5857201720000376	+
n	22	69.74763226699997	0.11349303299994062	0.4197032219999528	0	0.16858431700029541	0.7522073670002101	-69.74763226699997	['+']
n	23	72.23065464000001	0.15003723200015884	0.4691530270001749	0	0.18808821699985856	0.8016156479998244	0.4024650480000673	+
v	24	74.76359373600008	0.05691973000011785	0.36870042500004274	0	0.16358932499997536	0.7178859589998865	0.3687264589998449	+
n	25	77.01235879400019	0.04853564399991228	0.3691516649996629	0	0.11435321099997964	0.718407255999864	0.4692136179996851	-
v	26	79.26114421400007	0.19944323999970948	0.5195726669999203	0	0.18704911800023183	0.8521268859999509	0.5530009429999154	-
v	27	81.84524219500008	0.06294205499989403	0.3846371340000587	0	0.16998939899986	0.7338648370000556	0.55135247599992	+
n	28	84.10966448699992	0.04011489200001961	0.3528165739999167	0	0.11341621700012183	0.685364047999883	-84.10966448699992	['+']
v	29	86.5263080210002	0.08630916499987507	0.4020758509996085	0	0.2634006920002321	0.7345671039997796	-86.5263080210002	['-']
n	30	88.99245338399987	0.068107799000245	0.3850775089999843	0	0.11900177400002576	0.7342758160002631	0.5513702100001865	-
v	31	91.25795750599991	0.13875390300017898	0.4524672100001226	0	0.17738210300012724	0.8013257229999908	-91.25795750599991	['+']
n	32	93.58986635100018	0.15979481599970313	0.46946304999983113	0	0.17241770700002235	0.8019948889996158	-93.58986635100018	['+']
