response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
[]	1	18.855868571198698	19.56129381076363	0	0	0.0	20.649357068551183	20.27186340508581	[-5]	na
b	2	22.430480804836407	22.90951091887348	0	0	23.902969374595727	23.993484063625658	23.81784320535462	[5]	
n	3	25.249888130502654	25.754126855494178	0	0	26.761895985742285	0.0	26.864079587039384	[5]	1
v	4	33.12948945635122	33.70920909702227	0	0	34.60714454950215	34.795707823967916	34.52141449024049	[-5]	1
n	5	36.60447051037943	36.88108128745574	0	0	37.89229681928293	0.0	37.99325868250986	[-5]	0
[]	6	44.206985665104185	44.609588591199724	0	0	0.0	45.69393613955401	45.20128504183714	[-5]	na
[]	7	47.45398243094678	47.90932823290535	0	0	0.0	49.020409922680756	48.51072140841438	[5]	na
v	8	50.77896722080044	50.827086704813155	0	0	51.808197231208965	51.91236574633996	51.83791197738475	[5]	0
n	9	53.696685050211954	54.125404269678995	0	0	55.02715108514394	55.23597320715277	55.13454636816192	[-5]	0
v	10	57.01968328411078	57.397980355305776	0	0	58.30847433913823	58.48373068557737	58.10509000055015	[5]	0
v	11	60.241939032971345	60.54460082910691	0	0	61.481613015440814	61.63042259164473	61.454963187751105	[-5]	1
v	12	63.391559661952954	63.59506567252657	0	0	64.60037572648417	64.70050790804453	64.40110736433826	[5]	0
