response	trial	t_start	t_set	t_ball	t_release	t_response	t_goal
v	0	36.080024004	3.70852184296	4.58060884476	0	0.179008960724	4.84658479691
n	1	43.178704977	0.266126871109	0.83086180687	0	0.134365081787	0.947341918945
n	2	45.6560499668	0.243903875351	0.952715873718	0	0.151138067245	1.11991381645
v	3	49.0263178349	0.330610990524	1.34791612625	0	0.361428976059	1.56452798843
n	4	52.1181190014	0.245686769485	0.65545296669	0	0.162120819092	0.937949895859
n	5	54.5845849514	0.268214941025	1.13801383972	0	0.141127109528	1.28855395317
v	6	57.4003248215	0.107946157455	0.971348047256	0	0.10808801651	1.05453515053
n	7	59.9821498394	0.254009962082	1.12199997902	0	0.343645095825	1.40506696701
v	8	62.9150588512	0.280813932419	1.13814592361	0	0.0586140155792	1.23745298386
n	9	66.404116869	0.40799498558	1.26467490196	0	0.131065130234	1.44722604752
v	10	69.3938698769	0.578733921051	1.14060902596	0	0.121422052383	1.22374200821
v	11	72.1453509331	0.11462688446	0.821722984314	0	0.120838880539	1.07119083405
n	12	74.7443008423	0.0849089622498	1.10512113571	0	0.158524990082	1.25493407249
v	13	77.5275998116	0.0933630466461	0.504492044449	0	0.152213096619	0.587623119354
n	14	79.6427037716	0.210082054138	0.622017145157	0	0.255245923996	0.838443040848
v	15	82.0086607933	0.131501197815	0.988502979279	0	0.210886001587	1.13830518723
n	16	84.6749169827	0.289201974869	1.30468583107	0	0.148691177368	1.57056593895
n	17	88.4966650009	0.292960882187	0.998436927795	0	0.137099027634	1.11493492126
v	18	91.1396379471	0.313895940781	0.721381902695	0	0.147195100784	0.88735294342
n	19	94.2782678604	0.0310180187225	0.898379087448	0	0.167498826981	1.13097596169
n	20	97.660492897	0.160060882568	1.18163990974	0	0.302329063416	1.39814305305
v	21	100.586767912	0.153840065002	1.02113890648	0	0.248562097549	1.271723032
n	22	104.108858824	0.136890172958	0.847984075546	0	0.147433996201	1.01399707794
[]	23	107.374572992	0.0142478942871	1.03119492531	0	-108.405767918	1.11434292793
n	24	110.016943932	0.131621837616	0.538138866425	0	0.157371044159	0.687893867493
v	25	112.232903957	0.341018915176	0.75473690033	0	0.149137973785	0.987394809723
n	26	115.471894979	0.293344974518	1.31463098526	0	0.173985004425	1.53050780296
v	27	118.530334949	0.266247987747	0.672016859055	0	0.230018138885	0.788493871689
