response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
v	1	13.177712980000024	14.708704908000072	15.015904282000065	0	15.175140076000162	15.365149322999969	15.083112090999975	[5]	0
n	2	16.89591248800002	17.17316113400011	17.481966489000115	0	17.695165649000046	17.814337558000034	17.482431545000054	[5]	1
v	3	19.545357620999994	19.860497162	20.180987076000065	0	20.279507978000083	20.513523908000025	20.282379235999997	[-5]	1
n	4	22.244542607000085	22.316090061000068	22.630206989000044	0	22.759292404999997	22.96276537300014	22.76485747100014	[5]	1
v	5	24.693395092000173	24.94796081300001	25.26273966000008	0	25.41551083200011	25.611951540000064	25.363213366000082	[5]	0
v	6	27.14247135400001	27.268693970000186	27.578754935999996	0	27.783551050000142	27.861273609000136	27.512547710000035	[5]	0
n	7	29.45869301200014	29.54080749500008	29.86138796099999	0	29.97555746000012	30.160583735000046	29.828448138000113	[5]	1
n	8	31.892290194999987	31.957625334000113	32.277342122000164	0	32.431558561999964	32.593130942000016	32.24437389200011	[-5]	0
v	9	34.15724818400008	34.228575999999975	34.54320928700008	0	34.671715719000076	34.87580941800002	34.61036714800002	[-5]	1
v	10	36.60669810500008	36.85258218000013	37.15905160200009	0	37.45568678100017	37.50829842799999	37.326206601000194	[5]	0
v	11	39.0398568600001	39.12452640300012	39.44175418300006	0	39.824014268000155	39.72485370499999	39.375524455999994	[-5]	0
v	12	41.32252269700007	41.48613493800008	41.807675403000076	0	41.92785462500001	42.140234267000096	41.94226088100004	[-5]	1
v	13	43.87141373400004	44.06068924300007	44.37357265700007	0	44.53592007700013	44.706106163000186	44.54151196099997	[-5]	1
n	14	46.437351312000146	46.685350621	47.00607761800006	0	47.095926855000016	47.355323506000104	47.00654161700004	[-5]	0
v	15	48.88621511100018	48.957695334000164	49.27221307800005	0	49.4480464400001	49.60460160700018	49.30589542100006	[-5]	1
v	16	51.33521179400009	51.47673739100014	51.78795965400013	0	51.94403202800004	52.1372801980001	51.82176315800007	[5]	0
