trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change	change_loc	trial_nr	block
4	0.5	5	1	-	9	4.5	0.6	1	-4	23	1
21	0.5	5	1	+	9	4.5	0.44999999999999996	1	-5	24	1
64	0.5	5	1	+	9	4.5	0.6	0	0	25	1
46	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	26	1
41	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	27	1
6	0.5	5	1	-	9	4.5	0.3	1	-6	28	1
63	0.5	5	1	+	9	4.5	0.3	0	0	29	1
35	0.5	5	1	-	9	4.5	0.44999999999999996	1	-3	30	1
2	0.5	5	1	-	9	4.5	0.44999999999999996	1	-2	31	1
12	0.5	5	1	-	9	4.5	0.75	0	0	32	1
56	0.5	5	1	+	9	4.5	0.9	1	-8	33	1
49	0.5	5	1	+	9	4.5	0.9	1	-1	34	1
17	0.5	5	1	+	9	4.5	0.9	1	-1	35	1
31	0.5	5	1	+	9	4.5	0.9	0	0	36	1
34	0.5	5	1	-	9	4.5	0.9	1	-2	37	1
59	0.5	5	1	+	9	4.5	0.75	0	0	38	1
10	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	39	1
38	0.5	5	1	-	9	4.5	0.6	1	-6	40	1
3	0.5	5	1	-	9	4.5	0.44999999999999996	1	-3	41	1
57	0.5	5	1	+	9	4.5	0.6	0	0	42	1
1	0.5	5	1	-	9	4.5	0.3	1	-1	43	1
52	0.5	5	1	+	9	4.5	0.75	1	-4	44	1
14	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	45	1
8	0.5	5	1	-	9	4.5	0.3	1	-8	46	1
19	0.5	5	1	+	9	4.5	0.75	1	-3	47	1
29	0.5	5	1	+	9	4.5	0.6	0	0	48	1
16	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	49	1
51	0.5	5	1	+	9	4.5	0.9	1	-3	50	1
60	0.5	5	1	+	9	4.5	0.75	0	0	51	1
28	0.5	5	1	+	9	4.5	0.75	0	0	52	1
32	0.5	5	1	+	9	4.5	0.3	0	0	53	1
7	0.5	5	1	-	9	4.5	0.3	1	-7	54	1
22	0.5	5	1	+	9	4.5	0.6	1	-6	55	1
25	0.5	5	1	+	9	4.5	0.3	0	0	56	1
50	0.5	5	1	+	9	4.5	0.6	1	-2	57	1
58	0.5	5	1	+	9	4.5	0.6	0	0	58	1
9	0.5	5	1	-	9	4.5	0.75	0	0	59	1
53	0.5	5	1	+	9	4.5	0.9	1	-5	60	1
42	0.5	5	1	-	9	4.5	0.6	0	0	61	1
24	0.5	5	1	+	9	4.5	0.6	1	-8	62	1
11	0.5	5	1	-	9	4.5	0.75	0	0	63	1
43	0.5	5	1	-	9	4.5	0.9	0	0	64	1
5	0.5	5	1	-	9	4.5	0.44999999999999996	1	-5	1	2
22	0.5	5	1	+	9	4.5	0.6	1	-6	2	2
31	0.5	5	1	+	9	4.5	0.9	0	0	3	2
45	0.5	5	1	-	9	4.5	0.9	0	0	4	2
8	0.5	5	1	-	9	4.5	0.3	1	-8	5	2
6	0.5	5	1	-	9	4.5	0.3	1	-6	6	2
43	0.5	5	1	-	9	4.5	0.9	0	0	7	2
54	0.5	5	1	+	9	4.5	0.3	1	-6	8	2
20	0.5	5	1	+	9	4.5	0.75	1	-4	9	2
46	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	10	2
60	0.5	5	1	+	9	4.5	0.75	0	0	11	2
41	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	12	2
50	0.5	5	1	+	9	4.5	0.6	1	-2	13	2
24	0.5	5	1	+	9	4.5	0.6	1	-8	14	2
11	0.5	5	1	-	9	4.5	0.75	0	0	15	2
30	0.5	5	1	+	9	4.5	0.9	0	0	16	2
9	0.5	5	1	-	9	4.5	0.75	0	0	17	2
14	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	18	2
58	0.5	5	1	+	9	4.5	0.6	0	0	19	2
