response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	rev_sign
v	1	12.283796618999986	0.938141461999976	1.244368730999895	0	0.13598398700014513	1.5934873129999687	1.4106138109998483	+
n	2	15.407969101999925	0.021241742000029262	0.3360901979999653	0	0.13633751600013966	0.6852929839999433	-15.407969101999925	['-']
n	3	17.623682657000018	0.09280596899998272	0.4030210459998216	0	0.28533146200015835	0.7356482509999296	-17.623682657000018	['+']
v	4	20.090512420999858	0.30659607600000527	0.6187258850000035	0	0.019075816000167833	0.9679111269999794	-20.090512420999858	['+']
n	5	22.589622355999836	0.06306386800019936	0.3689322390000598	0	0.001829387000270799	0.7014732190000359	0.40203579800004263	+
n	6	25.02221366899994	0.26278448299990487	0.5689029860000119	0	0.057069648000151574	0.9180696440000702	-25.02221366899994	['-']
v	7	27.470662434999895	0.18268697500002418	0.5030360529999598	0	0.04253903300013917	0.8355776820001211	0.43638966399998935	-
n	8	30.036991631999854	0.160110670999984	0.4692723340001521	0	0.4701125440001306	0.8190939940000135	-30.036991631999854	['-']
v	9	32.38574919300004	0.2835096789999625	0.6031384309999339	0	0.09149903400020776	0.9522974019998856	0.5698546449998503	+
[]	10	34.868728318999956	0.8899435759999506	1.2026392840000426	0	-36.071367603	1.552256499999885	1.1691888949999338	-
v	11	37.951418829999966	0.13446192900005371	0.45251137399986874	0	0.08448555400013902	0.8016841710000335	-37.951418829999966	['+']
n	12	40.283605135000016	0.4179026580000027	0.7361528999999791	0	0.028786990000071455	1.068802420999873	-40.283605135000016	['+']
n	13	43.083230727	0.02742848499997308	0.33584672999995746	0	0.06951858100023856	0.6849893259998225	0.46880907900003876	-
v	14	45.29875054699983	0.13881582700014405	0.4530687470000885	0	0.008842014000265408	0.7854643440000473	0.6191926700000749	-
n	15	47.81515367099996	0.3023226220000197	0.6191304960000252	0	0.014870467000037024	0.9682447959999081	-47.81515367099996	['-']
v	16	50.31414997999991	0.19558882000001176	0.5026411420001295	0	0.1842956210000466	0.8352368010000646	0.5694149180001205	-
n	17	52.88039146999995	0.254250526000078	0.5689108789999864	0	0.15171325800019986	0.9014775230000396	0.5689373719999367	+
v	18	55.513152839999975	0.23732132400004957	0.5520593720000306	0	0.3840875580001466	0.9018529160000526	-55.513152839999975	['-']
v	19	57.94515249799997	0.06956153099986295	0.3860986659999526	0	0.05380290900006912	0.7352561769998829	0.5190790770000149	+
n	20	60.21099871899992	0.10729822500002228	0.419494425000039	0	0.05050410900003044	0.7520439039999474	-60.21099871899992	['+']
v	21	62.69465052099986	0.007436538000092696	0.3184786570000142	0	0.05197158000032687	0.667683727000167	0.25183558200001244	+
v	22	64.89270248499997	0.25837417599996115	0.5697533769998699	0	0.13881626400029745	0.9022350109999024	-64.89270248499997	['-']
[]	23	67.5261953459999	0.6243288600001051	0.9355994330001067	0	-68.461794779	1.2850417540000763	0.9686850880000293	-
v	24	70.34174158999986	0.11346720899996399	0.41903162600010546	0	0.13663022700006877	0.7682557670000278	-70.34174158999986	['+']
n	25	72.64066095899989	0.669594036000035	0.9859219510001367	0	0.03895610700010366	1.3184714460001032	-72.64066095899989	['+']
v	26	75.69011543800002	0.3322646829999485	0.6523573539998324	0	0.11525446700034081	0.9848903969998446	0.6523855880000156	-
n	27	78.40598875299997	0.06529147800006285	0.3857370409998566	0	0.11400990500033004	0.7183071489998838	0.4858127620000232	+
v	28	80.85535997099987	0.3110005580001598	0.618862659000115	0	0.015719244000138133	0.9514189000001352	0.7185153530001571	-
n	29	83.53794488099993	0.24561518499990598	0.5522023080000054	0	0.13583862200016483	0.8846983339999497	-83.53794488099993	['+']
v	30	86.155384056	0.2122060919998603	0.5339296150000337	0	0.12052558400000635	0.8831474549999712	0.6008155229999375	+
n	31	88.56915037999988	0.2626977039999474	0.5694829779999964	0	0.09527616600030342	0.9186557240000184	-88.56915037999988	['-']
v	32	91.01824190100001	0.17253724499983036	0.48629021399983685	0	0.10548909000021922	0.8188592750000225	-91.01824190100001	['-']
