trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change	change_loc	trial_nr	block
35	0.5	5	1	-	9	5	0.3	1	-3	1	0
8	0.5	5	1	-	9	5	0.6	1	-8	2	0
42	0.5	5	1	-	9	5	0.9	0	0	3	0
24	0.5	5	1	+	9	5	0.75	1	-8	4	0
41	0.5	5	1	-	9	5	0.75	0	0	5	0
54	0.5	5	1	+	9	5	0.6	1	-6	6	0
55	0.5	5	1	+	9	5	0.3	1	-7	7	0
31	0.5	5	1	+	9	5	0.6	0	0	8	0
15	0.5	5	1	-	9	5	0.44999999999999996	0	0	9	0
50	0.5	5	1	+	9	5	0.9	1	-2	10	0
52	0.5	5	1	+	9	5	0.9	1	-4	11	0
47	0.5	5	1	-	9	5	0.6	0	0	12	0
18	0.5	5	1	+	9	5	0.9	1	-2	13	0
7	0.5	5	1	-	9	5	0.9	1	-7	14	0
38	0.5	5	1	-	9	5	0.75	1	-6	15	0
10	0.5	5	1	-	9	5	0.3	0	0	16	0
45	0.5	5	1	-	9	5	0.75	0	0	17	0
14	0.5	5	1	-	9	5	0.44999999999999996	0	0	18	0
27	0.5	5	1	+	9	5	0.44999999999999996	0	0	19	0
46	0.5	5	1	-	9	5	0.44999999999999996	0	0	20	0
39	0.5	5	1	-	9	5	0.44999999999999996	1	-7	21	0
17	0.5	5	1	+	9	5	0.3	1	-1	22	0
3	0.5	5	1	-	9	5	0.44999999999999996	1	-3	23	0
43	0.5	5	1	-	9	5	0.44999999999999996	0	0	24	0
58	0.5	5	1	+	9	5	0.9	0	0	25	0
19	0.5	5	1	+	9	5	0.6	1	-3	26	0
12	0.5	5	1	-	9	5	0.9	0	0	27	0
56	0.5	5	1	+	9	5	0.75	1	-8	28	0
11	0.5	5	1	-	9	5	0.9	0	0	29	0
62	0.5	5	1	+	9	5	0.75	0	0	30	0
26	0.5	5	1	+	9	5	0.9	0	0	31	0
20	0.5	5	1	+	9	5	0.75	1	-4	32	0
36	0.5	5	1	-	9	5	0.3	1	-4	33	0
32	0.5	5	1	+	9	5	0.6	0	0	34	0
6	0.5	5	1	-	9	5	0.75	1	-6	35	0
59	0.5	5	1	+	9	5	0.75	0	0	36	0
64	0.5	5	1	+	9	5	0.75	0	0	37	0
30	0.5	5	1	+	9	5	0.3	0	0	38	0
63	0.5	5	1	+	9	5	0.75	0	0	39	0
29	0.5	5	1	+	9	5	0.3	0	0	40	0
22	0.5	5	1	+	9	5	0.3	1	-6	41	0
4	0.5	5	1	-	9	5	0.9	1	-4	42	0
37	0.5	5	1	-	9	5	0.3	1	-5	43	0
1	0.5	5	1	-	9	5	0.9	1	-1	44	0
25	0.5	5	1	+	9	5	0.3	0	0	45	0
28	0.5	5	1	+	9	5	0.44999999999999996	0	0	46	0
60	0.5	5	1	+	9	5	0.3	0	0	47	0
23	0.5	5	1	+	9	5	0.9	1	-7	48	0
57	0.5	5	1	+	9	5	0.44999999999999996	0	0	49	0
13	0.5	5	1	-	9	5	0.44999999999999996	0	0	50	0
34	0.5	5	1	-	9	5	0.75	1	-2	51	0
40	0.5	5	1	-	9	5	0.75	1	-8	52	0
33	0.5	5	1	-	9	5	0.75	1	-1	53	0
61	0.5	5	1	+	9	5	0.75	0	0	54	0
2	0.5	5	1	-	9	5	0.75	1	-2	55	0
5	0.5	5	1	-	9	5	0.75	1	-5	56	0
53	0.5	5	1	+	9	5	0.44999999999999996	1	-5	57	0
51	0.5	5	1	+	9	5	0.75	1	-3	58	0
49	0.5	5	1	+	9	5	0.9	1	-1	59	0
48	0.5	5	1	-	9	5	0.3	0	0	60	0
44	0.5	5	1	-	9	5	0.9	0	0	61	0
16	0.5	5	1	-	9	5	0.75	0	0	62	0
21	0.5	5	1	+	9	5	0.75	1	-5	63	0
9	0.5	5	1	-	9	5	0.6	0	0	64	0
3	0.5	5	1	-	9	5	0.44999999999999996	1	-3	1	1
5	0.5	5	1	-	9	5	0.75	1	-5	2	1
40	0.5	5	1	-	9	5	0.75	1	-8	3	1
18	0.5	5	1	+	9	5	0.9	1	-2	4	1
57	0.5	5	1	+	9	5	0.44999999999999996	0	0	5	1
12	0.5	5	1	-	9	5	0.9	0	0	6	1
23	0.5	5	1	+	9	5	0.9	1	-7	7	1
21	0.5	5	1	+	9	5	0.75	1	-5	8	1
7	0.5	5	1	-	9	5	0.9	1	-7	9	1
49	0.5	5	1	+	9	5	0.9	1	-1	10	1
47	0.5	5	1	-	9	5	0.6	0	0	11	1
55	0.5	5	1	+	9	5	0.3	1	-7	12	1
38	0.5	5	1	-	9	5	0.75	1	-6	13	1
58	0.5	5	1	+	9	5	0.9	0	0	14	1
19	0.5	5	1	+	9	5	0.6	1	-3	15	1
6	0.5	5	1	-	9	5	0.75	1	-6	16	1
9	0.5	5	1	-	9	5	0.6	0	0	17	1
8	0.5	5	1	-	9	5	0.6	1	-8	18	1
10	0.5	5	1	-	9	5	0.3	0	0	19	1
51	0.5	5	1	+	9	5	0.75	1	-3	20	1
41	0.5	5	1	-	9	5	0.75	0	0	21	1
13	0.5	5	1	-	9	5	0.44999999999999996	0	0	22	1
26	0.5	5	1	+	9	5	0.9	0	0	23	1
16	0.5	5	1	-	9	5	0.75	0	0	24	1
44	0.5	5	1	-	9	5	0.9	0	0	25	1
56	0.5	5	1	+	9	5	0.75	1	-8	26	1
50	0.5	5	1	+	9	5	0.9	1	-2	27	1
36	0.5	5	1	-	9	5	0.3	1	-4	28	1
28	0.5	5	1	+	9	5	0.44999999999999996	0	0	29	1
1	0.5	5	1	-	9	5	0.9	1	-1	30	1
63	0.5	5	1	+	9	5	0.75	0	0	31	1
34	0.5	5	1	-	9	5	0.75	1	-2	32	1
15	0.5	5	1	-	9	5	0.44999999999999996	0	0	33	1
54	0.5	5	1	+	9	5	0.6	1	-6	34	1
2	0.5	5	1	-	9	5	0.75	1	-2	35	1
29	0.5	5	1	+	9	5	0.3	0	0	36	1
45	0.5	5	1	-	9	5	0.75	0	0	37	1
37	0.5	5	1	-	9	5	0.3	1	-5	38	1
33	0.5	5	1	-	9	5	0.75	1	-1	39	1
17	0.5	5	1	+	9	5	0.3	1	-1	40	1
35	0.5	5	1	-	9	5	0.3	1	-3	41	1
42	0.5	5	1	-	9	5	0.9	0	0	42	1
53	0.5	5	1	+	9	5	0.44999999999999996	1	-5	43	1
22	0.5	5	1	+	9	5	0.3	1	-6	44	1
31	0.5	5	1	+	9	5	0.6	0	0	45	1
25	0.5	5	1	+	9	5	0.3	0	0	46	1
20	0.5	5	1	+	9	5	0.75	1	-4	47	1
14	0.5	5	1	-	9	5	0.44999999999999996	0	0	48	1
27	0.5	5	1	+	9	5	0.44999999999999996	0	0	49	1
