trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change_loc	trial_nr	block
6	0.5	5	1	-	9	5	0.3	-6	1	0
11	0.5	5	1	+	9	5	0.75	-3	2	0
2	0.5	5	1	-	9	5	0.75	-2	3	0
14	0.5	5	1	+	9	5	0.9	-6	4	0
15	0.5	5	1	+	9	5	0.9	-7	5	0
13	0.5	5	1	+	9	5	0.9	-5	6	0
4	0.5	5	1	-	9	5	0.44999999999999996	-4	7	0
9	0.5	5	1	+	9	5	0.75	-1	8	0
8	0.5	5	1	-	9	5	0.75	-8	9	0
1	0.5	5	1	-	9	5	0.3	-1	10	0
5	0.5	5	1	-	9	5	0.44999999999999996	-5	11	0
3	0.5	5	1	-	9	5	0.9	-3	12	0
10	0.5	5	1	+	9	5	0.3	-2	13	0
7	0.5	5	1	-	9	5	0.3	-7	14	0
12	0.5	5	1	+	9	5	0.75	-4	15	0
16	0.5	5	1	+	9	5	0.44999999999999996	-8	16	0
