trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change	change_loc	trial_nr	block
8	0.5	5	1	-	9	4.5	0.6	1	-8	1	0
15	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	2	0
25	0.5	5	1	+	9	4.5	0.44999999999999996	0	0	3	0
26	0.5	5	1	+	9	4.5	0.75	0	0	4	0
4	0.5	5	1	-	9	4.5	0.75	1	-4	5	0
12	0.5	5	1	-	9	4.5	0.9	0	0	6	0
17	0.5	5	1	+	9	4.5	0.6	1	-1	7	0
16	0.5	5	1	-	9	4.5	0.3	0	0	8	0
2	0.5	5	1	-	9	4.5	0.44999999999999996	1	-2	9	0
18	0.5	5	1	+	9	4.5	0.9	1	-2	10	0
32	0.5	5	1	+	9	4.5	0.6	0	0	11	0
30	0.5	5	1	+	9	4.5	0.6	0	0	12	0
23	0.5	5	1	+	9	4.5	0.6	1	-7	13	0
24	0.5	5	1	+	9	4.5	0.9	1	-8	14	0
9	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	15	0
21	0.5	5	1	+	9	4.5	0.44999999999999996	1	-5	16	0
3	0.5	5	1	-	9	4.5	0.3	1	-3	17	0
10	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	18	0
7	0.5	5	1	-	9	4.5	0.9	1	-7	19	0
27	0.5	5	1	+	9	4.5	0.3	0	0	20	0
1	0.5	5	1	-	9	4.5	0.44999999999999996	1	-1	21	0
14	0.5	5	1	-	9	4.5	0.3	0	0	22	0
20	0.5	5	1	+	9	4.5	0.6	1	-4	23	0
29	0.5	5	1	+	9	4.5	0.6	0	0	24	0
28	0.5	5	1	+	9	4.5	0.44999999999999996	0	0	25	0
19	0.5	5	1	+	9	4.5	0.75	1	-3	26	0
6	0.5	5	1	-	9	4.5	0.9	1	-6	27	0
22	0.5	5	1	+	9	4.5	0.6	1	-6	28	0
31	0.5	5	1	+	9	4.5	0.75	0	0	29	0
5	0.5	5	1	-	9	4.5	0.9	1	-5	30	0
11	0.5	5	1	-	9	4.5	0.6	0	0	31	0
13	0.5	5	1	-	9	4.5	0.6	0	0	32	0
