response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	rev_sign
n	1	26.59553545199924	2.7601094330002525	3.0716297160006434	0	0.19514383299974725	3.404155773000639	3.2383662360007293	['+']
v	2	31.73048990499956	0.2581806280004457	0.5691490560002421	0	0.13060062899967306	0.8516801519999717	0.5025079449997065	['+']
v	3	34.17961692099925	0.9275823500001934	1.235619811000106	0	0.24715587700029573	1.58533771600014	1.3023864050001066	['+']
n	4	37.29502937500001	0.22911358199962706	0.5360852529993281	0	0.10304461200030346	0.8685911879993	0.5694213679998938	['+']
n	5	39.89409111899931	0.30871185300020443	0.6194302809999499	0	0.10096407900073245	0.9519475890001559	0.719431436999912	['+']
n	6	42.57813356299994	0.2733514009996725	0.584508851999999	0	0.2435251299993979	0.9338660559997152	0.6179373059994759	['-']
v	7	45.04272273299921	0.20006320000084088	0.5191212370000358	0	0.14030391000051168	0.8516234560001976	0.6191156009999759	['-']
n	8	47.625153232999764	0.26671440999962215	0.5858401099994808	0	0.13913259099990682	0.9349739669996779	0.6192710010000155	['-']
v	9	50.090883933999976	0.07247204199939006	0.3859580869993806	0	0.2252668689998245	0.7184760449999885	0.5526268009998603	['-']
n	10	52.54028876499979	0.26263846999972884	0.5689889220002442	0	0.24895536899930448	0.9182331699994393	0.7023431939996954	['-']
v	11	54.989123413000016	0.27094009399934293	0.5860048959993946	0	0.12697503799972765	0.935189258999344	0.7202571259995239	['+']
v	12	57.45488921299966	0.21213175199955003	0.5194676999999501	0	0.26370599399979255	0.7869195350003793	0.452878764000161	['-']
n	13	59.97122586599926	0.13664595499994903	0.45228373000009015	0	0.3745278120004514	0.8020222240002113	0.5523368880003545	['-']
n	14	62.30339987199932	0.1807981750007457	0.5026668410000639	0	0.2879569030001221	0.7857516840003882	0.4360661650007387	['+']
v	15	64.68567168799927	0.17311998900004255	0.4862245439999242	0	0.11443730000064534	0.8354016600005707	0.5196141530004752	['+']
n	16	67.05186513199988	0.15992073199959123	0.469260476999807	0	0.26080919800006086	0.8184597949993986	0.535976610999569	['-']
v	17	69.4009884549996	0.025778076000278816	0.3360622970003533	0	0.14093686699925456	0.6852628309998181	0.4360749380002744	['+']
n	18	71.6167566209997	0.10719397499997285	0.41954678099955345	0	0.08989082400057669	0.7520391999996718	0.41957270199964114	['+']
n	19	74.09992799799966	0.27910514700033673	0.585595378999642	0	0.24861273399983475	0.9346670839995568	0.5856224460003432	['-']
n	20	76.56523835000007	0.0614752959991165	0.3694560879994242	0	0.35152476799976284	0.686047989999679	0.33610833499915316	['+']
v	21	78.81395695899937	0.17266368699984014	0.48657626700060064	0	0.3293408809995526	0.835749360000591	0.6532462559998748	['+']
v	22	81.18061833199954	0.1828450109996993	0.5024569810002504	0	0.40281268099988665	0.7855573140004708	0.43589928900019004	['-']
n	23	83.56275024499973	0.10504563999984384	0.41954415300006076	0	0.1677839750000203	0.7687580339998021	0.5862807490002524	['-']
v	24	85.86190891199931	0.22078817000056006	0.5362953789999665	0	0.29574633199990785	0.8368659920006394	0.5030018329998711	['-']
v	25	88.4285886079997	0.2709149800002706	0.5853619879999314	0	0.2641078269998616	0.9178769199997987	0.5853883419995327	['-']
n	26	91.07743549999941	0.30137041699981637	0.619020496000303	0	0.29340948600020056	0.9681249590003063	0.6856350810003278	['-']
v	27	93.57732223899984	0.09727462099999684	0.4182797049998044	0	0.17824414699953195	0.7675011629999062	0.41830542299976514	['+']
n	28	95.87546065499919	0.1283464260004621	0.43604548900020745	0	0.1103343290005796	0.7685712360007528	0.5027636130007522	['+']
v	29	98.37608578599975	0.24372696499995072	0.5512121760002628	0	0.2625256409992289	0.8504077340003278	0.5179182450001463	['-']
v	30	100.95750494599997	0.21421789699979854	0.5355907029997979	0	0.19278365599984681	0.8681441759999871	0.6689446239997778	['-']
n	31	103.55701264599975	0.10943556300026103	0.4187345139998797	0	0.3181100060000972	0.735112198999559	0.38536542000019836	['+']
v	32	105.85552323899992	0.12392293099946983	0.4362300849998064	0	0.0822099259994502	0.7851576859993656	0.568970153999544	['+']
n	1	143.27658263299963	1.574126002000412	1.885751376999906	0	0.1873196590004227	2.2344948970003315	1.918692172000192	['-']
v	2	147.04123729899948	0.26502508700014005	0.5865011519999825	0	0.145886297999823	0.9356957199997851	0.5865268730003663	['+']
v	3	149.50741711999945	0.2311590179997438	0.552872854999805	0	0.11335406299986062	0.8687179400003515	0.5195468319998326	['+']
n	4	151.93921700699957	0.3031015349997688	0.6202665990003879	0	0.13410344299973076	0.9694541480002954	0.7865327910003543	['-']
v	5	154.4387856129997	0.24389115200028755	0.5532047859996965	0	0.17363465300059033	0.8857704350002678	0.6198566499997469	['-']
v	6	157.05476487399937	0.5083703680002145	0.8196450860004916	0	0.1871999049999431	1.1687926539998443	0.9529493899999579	['+']
n	7	159.7542190539998	0.21653970900024433	0.5360560290000649	0	0.09942341399982979	0.8852003149995653	0.6375276029993984	['-']
v	8	162.1697504089998	0.09696830899974884	0.4030985170002168	0	0.1367440889998761	0.735584746999848	0.536428636999517	['-']
v	9	164.63586467599998	0.24812513699998817	0.5694736939994982	0	0.24849571499999001	0.8352989439999874	0.5027803019993371	['-']
n	10	167.20154540799922	0.2980797480004185	0.6195745930008343	0	0.1044750289993317	0.9353948080006376	0.5862125720004769	['-']
v	11	169.70015199699992	0.2861039310000706	0.6035939699995652	0	0.029835055000148714	0.952622254999369	0.6697487450001063	['+']
v	12	172.18263313699936	0.14754413399987243	0.4536261760003981	0	0.13735905500016088	0.7693799890002992	0.4202638590004426	['+']
n	13	174.51531898699977	0.1598643239994999	0.4700491490002605	0	0.14042686299944762	0.8192635569994309	0.47007564500017907	['-']
v	14	176.8651063949992	0.09721860500030743	0.40287040900057036	0	0.06578613799956656	0.7353621390002445	0.5024908909999795	['-']
v	15	179.33125109799948	0.3274412709997705	0.6358476840005096	0	0.22246397799972328	0.9684196610005529	0.6358754430002591	['-']
n	16	182.0299252979994	0.325506466000661	0.6362902730006681	0	0.17135393199987448	0.9021289480006089	0.5696892670002853	['+']
v	17	184.66252502399948	0.3084955900003479	0.6194431789999726	0	0.12358396400031779	0.9686237920004714	0.6861667080002007	['+']
v	18	187.16455790099917	0.18264342700058478	0.4999902410008872	0	0.3410335839998879	0.8506453380005041	0.6666933030001019	['+']
n	19	189.54343230199993	0.09888812000008329	0.42032740699960414	0	0.1697640969996428	0.7695232169999144	0.4537254169999869	['-']
v	20	191.84313740800008	0.35107560599954013	0.6697887709997303	0	0.07664414699956978	1.018969563999235	0.7032341259991881	['+']
n	21	194.3920006849994	0.210101993000535	0.5201530300000741	0	0.10949213500043697	0.8693564730001526	0.6531083589998161	['-']
v	22	196.79153112399945	0.13878632800060586	0.4531711340005131	0	0.12887714299995423	0.7357038099999045	0.38663546000043425	['+']
n	23	199.12477540300006	0.2696500689999084	0.585767281999324	0	0.13551974700021674	0.9182850379993397	0.6858334939997803	['+']
v	24	201.77374267100004	0.27735315099926083	0.5859457970000221	0	0.20586552399981883	0.8851262659991335	0.5526763429998027	['-']
v	25	204.38943056299922	0.3086974220004777	0.6193703270000697	0	0.2850739599998633	0.9518859760000851	0.6862460100001044	['-']
v	26	207.07178981699963	0.42632295600014913	0.736085352000373	0	0.1819074389995876	1.0852884169999015	0.9027715960000933	['+']
v	27	209.68710176700006	0.26725443199939036	0.5866383719994701	0	0.2598000759999195	0.9358376669997597	0.6200939939999444	['+']
n	28	212.15310298499935	0.03367007900033059	0.35323995300041133	0	0.1552064249999603	0.6857501570002569	0.4867110570003206	['+']
v	29	214.5699055319992	0.25626039400049194	0.5688639570007581	0	0.45877087299959385	0.918738532000134	0.7356357120006578	['-']
n	30	217.01769753600001	0.21816341999965516	0.5371153009991758	0	0.3068195830001059	0.8695062079996205	0.5371418389995597	['+']
v	31	219.61767332599993	0.17657838099967194	0.486242091999884	0	0.19773030799933622	0.7520399989998623	0.4195440369994685	['-']
v	32	222.10025280399987	0.2225115569999616	0.5360870320000686	0	0.15321396499984985	0.8853062409998529	0.6361664320002092	['+']
v	1	237.23548233099973	0.9907387060002293	1.3123021549999976	0	0.12185823700019682	1.6448061459996097	1.412302687999727	['-']
n	2	240.61098599699926	0.25654804700025124	0.5692759010007649	0	0.12137914699997054	0.918511899000805	0.6026174290000199	['-']
v	3	243.05946312099968	0.07174289900012809	0.3867684429997098	0	0.15155609700013883	0.7359089000001404	0.5200992319996658	['+']
v	4	245.32542825899964	0.2541515820003042	0.5699271729999964	0	0.08633868600009009	0.919139255999653	0.5699536169995554	['+']
n	5	247.77436906999992	0.24406077999992704	0.5535902860001443	0	0.2776834909991521	0.8860912359996291	0.5536161319996609	['+']
v	6	250.39074951299972	0.2275258859999667	0.5363184870002442	0	0.230515249999371	0.8855563569995866	0.702984681000089	['+']
v	7	252.8060384139999	0.18099404299937305	0.48693645899948024	0	0.14460896800028422	0.8360975119994691	0.5869606209998892	['+']
n	8	255.17228646799958	0.11104274300032557	0.4198925450000388	0	0.15748335199987196	0.7691026620004777	0.5532884920003198	['-']
v	9	257.47141822199956	0.2521512760004043	0.5700073389998579	0	0.1323487469999236	0.9191522450000775	0.7044391629997335	['+']
n	10	259.9205166059992	0.2982315440003731	0.6201760740004829	0	0.0890724089995274	0.952589517000888	0.6867745960007596	['+']
v	11	262.60331909199977	0.4469695560001128	0.7530168249995768	0	0.1612723950001964	1.085513004999484	0.8196660539997538	['-']
n	12	265.4194085299996	0.2548228499999823	0.5693748829999095	0	0.20079160499972204	0.9185582460004298	0.6027527380001629	['-']
v	13	267.8680496929992	0.270777611000085	0.5865678330001174	0	0.1991745510003966	0.9191587250006705	0.5865939040004378	['-']
v	14	270.51799270599986	0.1806290739996257	0.4858746969994172	0	0.08973610200064286	0.785050419000072	0.45250814100018033	['-']
v	15	273.03360056899965	0.27319786499992915	0.5860706679995928	0	0.15394776300036028	0.9351931350001905	0.6193798690001131	['+']
n	16	275.4987525769993	0.2961283660006302	0.6034379580005407	0	0.15143414499925711	0.919246746000681	0.5701399300005505	['-']
v	17	277.98165605599934	0.15757943600056024	0.46973674000037136	0	0.20225357599974814	0.8022259200006374	0.5697876069998529	['-']
