trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change	change_loc	trial_nr	block
21	0.5	4	0	-	9	4.5	0.9	0	0.0	1	0
88	0.5	4	0	+	9	4.5	0.3	0	0.0	2	0
137	0.5	4	0	+	9	4.5	0.9	0	0.0	3	0
63	0.5	4	0	-	9	4.5	0.6	0	0.0	4	0
66	0.5	4	0	-	9	4.5	0.9	0	0.0	5	0
125	0.5	4	0	+	9	4.5	0.44999999999999996	1	4.0	6	0
117	0.5	4	0	-	9	4.5	0.6	0	0.0	7	0
27	0.5	4	0	+	9	4.5	0.75	1	3.0	8	0
37	0.5	4	0	+	9	4.5	0.9	0	0.0	9	0
59	0.5	4	0	-	9	4.5	0.6	1	7.0	10	0
141	0.5	4	0	+	9	4.5	0.44999999999999996	0	0.0	11	0
71	0.5	4	0	-	9	4.5	0.6	0	0.0	12	0
44	0.5	4	0	+	9	4.5	0.6	0	0.0	13	0
34	0.5	4	0	+	9	4.5	0.75	1	6.5	14	0
39	0.5	4	0	+	9	4.5	0.9	0	0.0	15	0
81	0.5	4	0	+	9	4.5	0.6	1	6.0	16	0
45	0.5	4	0	+	9	4.5	0.9	0	0.0	17	0
124	0.5	4	0	+	9	4.5	0.75	1	3.5	18	0
32	0.5	4	0	+	9	4.5	0.3	1	5.5	19	0
10	0.5	4	0	-	9	4.5	0.75	1	6.5	20	0
102	0.5	4	0	-	9	4.5	0.75	1	4.5	21	0
122	0.5	4	0	+	9	4.5	0.3	1	2.5	22	0
113	0.5	4	0	-	9	4.5	0.6	0	0.0	23	0
69	0.5	4	0	-	9	4.5	0.75	0	0.0	24	0
143	0.5	4	0	+	9	4.5	0.75	0	0.0	25	0
11	0.5	4	0	-	9	4.5	0.6	1	7.0	26	0
86	0.5	4	0	+	9	4.5	0.3	0	0.0	27	0
55	0.5	4	0	-	9	4.5	0.75	1	5.0	28	0
47	0.5	4	0	+	9	4.5	0.75	0	0.0	29	0
104	0.5	4	0	-	9	4.5	0.75	1	5.5	30	0
135	0.5	4	0	+	9	4.5	0.75	0	0.0	31	0
87	0.5	4	0	+	9	4.5	0.44999999999999996	0	0.0	32	0
26	0.5	4	0	+	9	4.5	0.6	1	2.5	33	0
110	0.5	4	0	-	9	4.5	0.44999999999999996	0	0.0	34	0
15	0.5	4	0	-	9	4.5	0.75	0	0.0	35	0
73	0.5	4	0	+	9	4.5	0.44999999999999996	1	2.0	36	0
16	0.5	4	0	-	9	4.5	0.75	0	0.0	37	0
14	0.5	4	0	-	9	4.5	0.3	0	0.0	38	0
94	0.5	4	0	+	9	4.5	0.6	0	0.0	39	0
128	0.5	4	0	+	9	4.5	0.3	1	5.5	40	0
