response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	rev_sign
v	1	12.51499954100018	2.296314426999743	2.6029378759999418	0	0.12033263000012084	2.9521553499998845	2.669679051000003	['+']
n	2	16.997707310999886	0.12617428600015046	0.43621352400032265	0	0.16438388999995368	0.7021647450001183	0.3695655390001775	['+']
n	3	19.430828032000136	0.03638485800001945	0.35235171299973445	0	0.19939538700009507	0.7015529999998762	0.5190266879999399	['-']
n	4	21.662790159999986	0.18894899399992937	0.5030669789998683	0	0.30466103900016606	0.8203927270001259	0.469804768999893	['+']
n	5	24.212859907000166	0.2942869159996917	0.6021264920000249	0	0.1756121139997049	0.9346672369997577	0.6355768049998005	['+']
n	6	26.878101163999872	0.25426440100000036	0.5694064970002728	0	0.17516523399990547	0.9019529720003447	0.7027928420002354	['+']
v	7	29.511260713999945	0.22042599399992469	0.5354353339998852	0	0.17608002400038458	0.8846576959999766	0.7020968400001948	['+']
n	8	31.92626952899991	0.014817331999893213	0.33645752900019943	0	0.11995226399994863	0.6856529820001924	0.33648455299999114	['-']
v	9	34.14277935500013	0.44493449099991267	0.7524491059998581	0	0.1434999040002367	1.084999379999772	0.78585238200003	['-']
n	10	36.95860480300007	0.22918460699975185	0.535877514999811	0	0.17638345200020922	0.8850297429999046	0.635835675999715	['-']
v	11	39.37435985299999	0.10113544200021352	0.41939044799983094	0	0.30108943500044916	0.7025078140000005	0.3528056029999789	['-']
v	12	41.6735608529998	0.050640110000131244	0.36947562300019854	0	0.27586082300013004	0.7187253199999759	0.4695241500003249	['+']
n	13	43.9226074799999	0.2185337599999002	0.5364057720003075	0	0.18794733499998983	0.8523039639999297	0.5030558420003217	['-']
v	14	46.33853610899996	0.05746204700017188	0.36980822199984686	0	0.10668055000041932	0.702293243999975	0.5028005449999	['-']
v	15	48.771724305000134	0.06536004200006573	0.38580514099976426	0	0.36155062700026974	0.7355549929998233	0.4525226430000657	['-']
n	16	51.03740376499991	0.2064583669998683	0.5193918119998671	0	0.29033310200020424	0.8519417570000769	0.5194175420001557	['+']
