trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	trial_nr	block
41	0.5	4	0	-	7.0	3.5	0.75	40	1
15	0.5	4	0	+	3.5	1.75	0.3	41	1
54	0.5	4	0	-	8.5	4.25	0.44999999999999996	42	1
50	0.5	4	0	-	8.0	4.0	0.6	43	1
47	0.5	4	0	+	7.5	3.75	0.9	44	1
1	0.5	4	0	-	2.0	1.0	0.44999999999999996	45	1
18	0.5	4	0	-	4.0	2.0	0.9	46	1
48	0.5	4	0	+	7.5	3.75	0.9	47	1
33	0.5	4	0	-	6.0	3.0	0.44999999999999996	48	1
12	0.5	4	0	+	3.0	1.5	0.9	49	1
55	0.5	4	0	+	8.5	4.25	0.9	50	1
11	0.5	4	0	+	3.0	1.5	0.3	51	1
31	0.5	4	0	+	5.5	2.75	0.75	52	1
21	0.5	4	0	-	4.5	2.25	0.6	53	1
23	0.5	4	0	+	4.5	2.25	0.6	54	1
8	0.5	4	0	+	2.5	1.25	0.44999999999999996	55	1
3	0.5	4	0	+	2.0	1.0	0.9	56	1
11	0.5	4	0	+	3.0	1.5	0.3	1	2
41	0.5	4	0	-	7.0	3.5	0.75	2	2
2	0.5	4	0	-	2.0	1.0	0.75	3	2
28	0.5	4	0	+	5.0	2.5	0.44999999999999996	4	2
36	0.5	4	0	+	6.0	3.0	0.9	5	2
20	0.5	4	0	+	4.0	2.0	0.9	6	2
15	0.5	4	0	+	3.5	1.75	0.3	7	2
9	0.5	4	0	-	3.0	1.5	0.9	8	2
4	0.5	4	0	+	2.0	1.0	0.75	9	2
3	0.5	4	0	+	2.0	1.0	0.9	10	2
6	0.5	4	0	-	2.5	1.25	0.75	11	2
25	0.5	4	0	-	5.0	2.5	0.75	12	2
54	0.5	4	0	-	8.5	4.25	0.44999999999999996	13	2
10	0.5	4	0	-	3.0	1.5	0.9	14	2
38	0.5	4	0	-	6.5	3.25	0.44999999999999996	15	2
1	0.5	4	0	-	2.0	1.0	0.44999999999999996	16	2
29	0.5	4	0	-	5.5	2.75	0.9	17	2
40	0.5	4	0	+	6.5	3.25	0.6	18	2
56	0.5	4	0	+	8.5	4.25	0.3	19	2
34	0.5	4	0	-	6.0	3.0	0.3	20	2
19	0.5	4	0	+	4.0	2.0	0.75	21	2
16	0.5	4	0	+	3.5	1.75	0.9	22	2
48	0.5	4	0	+	7.5	3.75	0.9	23	2
32	0.5	4	0	+	5.5	2.75	0.6	24	2
14	0.5	4	0	-	3.5	1.75	0.44999999999999996	25	2
45	0.5	4	0	-	7.5	3.75	0.75	26	2
43	0.5	4	0	+	7.0	3.5	0.75	27	2
35	0.5	4	0	+	6.0	3.0	0.9	28	2
13	0.5	4	0	-	3.5	1.75	0.6	29	2
27	0.5	4	0	+	5.0	2.5	0.9	30	2
55	0.5	4	0	+	8.5	4.25	0.9	31	2
26	0.5	4	0	-	5.0	2.5	0.9	32	2
23	0.5	4	0	+	4.5	2.25	0.6	33	2
53	0.5	4	0	-	8.5	4.25	0.75	34	2
49	0.5	4	0	-	8.0	4.0	0.3	35	2
21	0.5	4	0	-	4.5	2.25	0.6	36	2
31	0.5	4	0	+	5.5	2.75	0.75	37	2
47	0.5	4	0	+	7.5	3.75	0.9	38	2
46	0.5	4	0	-	7.5	3.75	0.6	39	2
7	0.5	4	0	+	2.5	1.25	0.44999999999999996	40	2
17	0.5	4	0	-	4.0	2.0	0.6	41	2
42	0.5	4	0	-	7.0	3.5	0.44999999999999996	42	2
18	0.5	4	0	-	4.0	2.0	0.9	43	2
51	0.5	4	0	+	8.0	4.0	0.6	44	2
8	0.5	4	0	+	2.5	1.25	0.44999999999999996	45	2
12	0.5	4	0	+	3.0	1.5	0.9	46	2
33	0.5	4	0	-	6.0	3.0	0.44999999999999996	47	2
30	0.5	4	0	-	5.5	2.75	0.9	48	2
39	0.5	4	0	+	6.5	3.25	0.75	49	2
37	0.5	4	0	-	6.5	3.25	0.6	50	2
52	0.5	4	0	+	8.0	4.0	0.44999999999999996	51	2
50	0.5	4	0	-	8.0	4.0	0.6	52	2
5	0.5	4	0	-	2.5	1.25	0.9	53	2
22	0.5	4	0	-	4.5	2.25	0.3	54	2
24	0.5	4	0	+	4.5	2.25	0.44999999999999996	55	2
44	0.5	4	0	+	7.0	3.5	0.3	56	2
55	0.5	4	0	+	8.5	4.25	0.9	1	3
42	0.5	4	0	-	7.0	3.5	0.44999999999999996	2	3
35	0.5	4	0	+	6.0	3.0	0.9	3	3
25	0.5	4	0	-	5.0	2.5	0.75	4	3
21	0.5	4	0	-	4.5	2.25	0.6	5	3
29	0.5	4	0	-	5.5	2.75	0.9	6	3
49	0.5	4	0	-	8.0	4.0	0.3	7	3
46	0.5	4	0	-	7.5	3.75	0.6	8	3
39	0.5	4	0	+	6.5	3.25	0.75	9	3
52	0.5	4	0	+	8.0	4.0	0.44999999999999996	10	3
37	0.5	4	0	-	6.5	3.25	0.6	11	3
19	0.5	4	0	+	4.0	2.0	0.75	12	3
56	0.5	4	0	+	8.5	4.25	0.3	13	3
5	0.5	4	0	-	2.5	1.25	0.9	14	3
54	0.5	4	0	-	8.5	4.25	0.44999999999999996	15	3
20	0.5	4	0	+	4.0	2.0	0.9	16	3
27	0.5	4	0	+	5.0	2.5	0.9	17	3
28	0.5	4	0	+	5.0	2.5	0.44999999999999996	18	3
15	0.5	4	0	+	3.5	1.75	0.3	19	3
33	0.5	4	0	-	6.0	3.0	0.44999999999999996	20	3
48	0.5	4	0	+	7.5	3.75	0.9	21	3
12	0.5	4	0	+	3.0	1.5	0.9	22	3
9	0.5	4	0	-	3.0	1.5	0.9	23	3
43	0.5	4	0	+	7.0	3.5	0.75	24	3
22	0.5	4	0	-	4.5	2.25	0.3	25	3
34	0.5	4	0	-	6.0	3.0	0.3	26	3
14	0.5	4	0	-	3.5	1.75	0.44999999999999996	27	3
17	0.5	4	0	-	4.0	2.0	0.6	28	3
6	0.5	4	0	-	2.5	1.25	0.75	29	3
51	0.5	4	0	+	8.0	4.0	0.6	30	3
4	0.5	4	0	+	2.0	1.0	0.75	31	3
38	0.5	4	0	-	6.5	3.25	0.44999999999999996	32	3
8	0.5	4	0	+	2.5	1.25	0.44999999999999996	33	3
50	0.5	4	0	-	8.0	4.0	0.6	34	3
11	0.5	4	0	+	3.0	1.5	0.3	35	3
1	0.5	4	0	-	2.0	1.0	0.44999999999999996	36	3
53	0.5	4	0	-	8.5	4.25	0.75	37	3
10	0.5	4	0	-	3.0	1.5	0.9	38	3
18	0.5	4	0	-	4.0	2.0	0.9	39	3
30	0.5	4	0	-	5.5	2.75	0.9	40	3
36	0.5	4	0	+	6.0	3.0	0.9	41	3
41	0.5	4	0	-	7.0	3.5	0.75	42	3
2	0.5	4	0	-	2.0	1.0	0.75	43	3
32	0.5	4	0	+	5.5	2.75	0.6	44	3
24	0.5	4	0	+	4.5	2.25	0.44999999999999996	45	3
45	0.5	4	0	-	7.5	3.75	0.75	46	3
47	0.5	4	0	+	7.5	3.75	0.9	47	3
40	0.5	4	0	+	6.5	3.25	0.6	48	3
31	0.5	4	0	+	5.5	2.75	0.75	49	3
26	0.5	4	0	-	5.0	2.5	0.9	50	3
44	0.5	4	0	+	7.0	3.5	0.3	51	3
7	0.5	4	0	+	2.5	1.25	0.44999999999999996	52	3
16	0.5	4	0	+	3.5	1.75	0.9	53	3
13	0.5	4	0	-	3.5	1.75	0.6	54	3
23	0.5	4	0	+	4.5	2.25	0.6	55	3
3	0.5	4	0	+	2.0	1.0	0.9	56	3
12	0.5	4	0	+	3.0	1.5	0.9	1	4
4	0.5	4	0	+	2.0	1.0	0.75	2	4
29	0.5	4	0	-	5.5	2.75	0.9	3	4
52	0.5	4	0	+	8.0	4.0	0.44999999999999996	4	4
40	0.5	4	0	+	6.5	3.25	0.6	5	4
21	0.5	4	0	-	4.5	2.25	0.6	6	4
53	0.5	4	0	-	8.5	4.25	0.75	7	4
2	0.5	4	0	-	2.0	1.0	0.75	8	4
27	0.5	4	0	+	5.0	2.5	0.9	9	4
18	0.5	4	0	-	4.0	2.0	0.9	10	4
24	0.5	4	0	+	4.5	2.25	0.44999999999999996	11	4
13	0.5	4	0	-	3.5	1.75	0.6	12	4
42	0.5	4	0	-	7.0	3.5	0.44999999999999996	13	4
50	0.5	4	0	-	8.0	4.0	0.6	14	4
22	0.5	4	0	-	4.5	2.25	0.3	15	4
10	0.5	4	0	-	3.0	1.5	0.9	16	4
44	0.5	4	0	+	7.0	3.5	0.3	17	4
37	0.5	4	0	-	6.5	3.25	0.6	18	4
55	0.5	4	0	+	8.5	4.25	0.9	19	4
14	0.5	4	0	-	3.5	1.75	0.44999999999999996	20	4
35	0.5	4	0	+	6.0	3.0	0.9	21	4
33	0.5	4	0	-	6.0	3.0	0.44999999999999996	22	4
11	0.5	4	0	+	3.0	1.5	0.3	23	4
6	0.5	4	0	-	2.5	1.25	0.75	24	4
23	0.5	4	0	+	4.5	2.25	0.6	25	4
5	0.5	4	0	-	2.5	1.25	0.9	26	4
54	0.5	4	0	-	8.5	4.25	0.44999999999999996	27	4
20	0.5	4	0	+	4.0	2.0	0.9	28	4
28	0.5	4	0	+	5.0	2.5	0.44999999999999996	29	4
47	0.5	4	0	+	7.5	3.75	0.9	30	4
30	0.5	4	0	-	5.5	2.75	0.9	31	4
48	0.5	4	0	+	7.5	3.75	0.9	32	4
26	0.5	4	0	-	5.0	2.5	0.9	33	4
51	0.5	4	0	+	8.0	4.0	0.6	34	4
25	0.5	4	0	-	5.0	2.5	0.75	35	4
9	0.5	4	0	-	3.0	1.5	0.9	36	4
43	0.5	4	0	+	7.0	3.5	0.75	37	4
7	0.5	4	0	+	2.5	1.25	0.44999999999999996	38	4
56	0.5	4	0	+	8.5	4.25	0.3	39	4
32	0.5	4	0	+	5.5	2.75	0.6	40	4
3	0.5	4	0	+	2.0	1.0	0.9	41	4
49	0.5	4	0	-	8.0	4.0	0.3	42	4
36	0.5	4	0	+	6.0	3.0	0.9	43	4
46	0.5	4	0	-	7.5	3.75	0.6	44	4
17	0.5	4	0	-	4.0	2.0	0.6	45	4
45	0.5	4	0	-	7.5	3.75	0.75	46	4
